code,year,diag_age,rate,lower95,upper95,Race,Sex
di,2007-2016,45-49,47.22,45.913,48.555,All races,F
di,2007-2016,50-54,85.879,84.125,87.661,All races,F
di,2007-2016,55-59,109.004,106.953,111.085,All races,F
di,2007-2016,60-64,147.414,144.828,150.034,All races,F
di,2007-2016,65-69,210.975,207.448,214.547,All races,F
di,2007-2016,70-74,286.95,282.132,291.829,All races,F
di,2007-2016,75-79,380.052,373.798,386.384,All races,F
di,2007-2016,80-84,465.162,457.539,472.88,All races,F
di,2007-2016,85+,500.679,493.42,508.018,All races,F
di,2012-2016,All ages,78.159,77.532,78.789,All races,F
di,2012-2016,00-04,1.505,1.173,1.902,All races,F
di,2012-2016,00,3.471,2.374,4.901,All races,F
di,2012-2016,01-04,1.019,0.721,1.399,All races,F
di,2012-2016,05-09,,,,All races,F
di,2012-2016,10-14,0.835,0.597,1.138,All races,F
di,2012-2016,15-19,1.931,1.556,2.368,All races,F
di,2012-2016,20-24,2.878,2.43,3.385,All races,F
di,2012-2016,25-29,4.881,4.301,5.519,All races,F
di,2012-2016,30-34,9.155,8.358,10.008,All races,F
di,2012-2016,35-39,15.552,14.474,16.69,All races,F
di,2012-2016,40-44,27.297,25.867,28.785,All races,F
di,2012-2016,45-49,48.771,46.868,50.732,All races,F
di,2012-2016,50-54,88.554,86.047,91.115,All races,F
di,2012-2016,55-59,107.934,105.119,110.805,All races,F
di,2012-2016,60-64,148.702,145.169,152.3,All races,F
di,2012-2016,65-69,204.23,199.638,208.902,All races,F
di,2012-2016,70-74,269.053,262.768,275.45,All races,F
di,2012-2016,75-79,358.012,349.547,366.63,All races,F
di,2012-2016,80-84,440.284,429.721,451.04,All races,F
di,2012-2016,85+,469.994,460.309,479.832,All races,F
di,1975,All ages,71.554,69.942,73.194,All races,F
di,1975,00-04,,,,All races,F
di,1975,00,,,,All races,F
di,1975,01-04,,,,All races,F
di,1975,05-09,,,,All races,F
di,1975,10-14,,,,All races,F
di,1975,15-19,,,,All races,F
di,1975,20-24,,,,All races,F
di,1975,25-29,2.195,1.321,3.427,All races,F
di,1975,30-34,4.743,3.285,6.628,All races,F
di,1975,35-39,10.843,8.313,13.9,All races,F
di,1975,40-44,24.446,20.468,28.972,All races,F
di,1975,45-49,43.637,38.425,49.359,All races,F
di,1975,50-54,71.907,65.27,79.035,All races,F
di,1975,55-59,127.951,118.437,138.025,All races,F
di,1975,60-64,185.329,172.859,198.46,All races,F
di,1975,65-69,295.189,277.962,313.204,All races,F
di,1975,70-74,376.832,355.016,399.638,All races,F
di,1975,75-79,495.368,466.816,525.21,All races,F
di,1975,80-84,579.266,542.572,617.789,All races,F
di,1975,85+,677.001,630.318,726.227,All races,F
di,1976,All ages,73.268,71.642,74.921,All races,F
di,1976,00-04,,,,All races,F
di,1976,00,,,,All races,F
di,1976,01-04,,,,All races,F
di,1976,05-09,,,,All races,F
di,1976,10-14,,,,All races,F
di,1976,15-19,,,,All races,F
di,1976,20-24,,,,All races,F
di,1976,25-29,2.409,1.51,3.648,All races,F
di,1976,30-34,5.196,3.677,7.132,All races,F
di,1976,35-39,9.535,7.203,12.382,All races,F
di,1976,40-44,20.493,16.858,24.678,All races,F
di,1976,45-49,45.113,39.766,50.979,All races,F
di,1976,50-54,77.079,70.188,84.464,All races,F
di,1976,55-59,133.917,124.266,144.118,All races,F
di,1976,60-64,182.544,170.292,195.446,All races,F
di,1976,65-69,284.16,267.494,301.593,All races,F
di,1976,70-74,375.241,353.744,397.703,All races,F
di,1976,75-79,508.16,479.31,538.293,All races,F
di,1976,80-84,596.19,559.106,635.087,All races,F
di,1976,85+,737.359,689.143,788.06,All races,F
di,1977,All ages,74.253,72.624,75.909,All races,F
di,1977,00-04,,,,All races,F
di,1977,00,,,,All races,F
di,1977,01-04,,,,All races,F
di,1977,05-09,,,,All races,F
di,1977,10-14,,,,All races,F
di,1977,15-19,,,,All races,F
di,1977,20-24,,,,All races,F
di,1977,25-29,2.303,1.426,3.52,All races,F
di,1977,30-34,4.67,3.288,6.437,All races,F
di,1977,35-39,10.012,7.658,12.861,All races,F
di,1977,40-44,24.123,20.169,28.625,All races,F
di,1977,45-49,51.637,45.855,57.947,All races,F
di,1977,50-54,76.547,69.637,83.957,All races,F
di,1977,55-59,123.917,114.724,133.651,All races,F
di,1977,60-64,190.657,178.253,203.697,All races,F
di,1977,65-69,272.311,256.185,289.186,All races,F
di,1977,70-74,376.735,355.427,398.986,All races,F
di,1977,75-79,504.249,475.802,533.953,All races,F
di,1977,80-84,607.636,570.608,646.435,All races,F
di,1977,85+,735.37,688.713,784.356,All races,F
di,1978,All ages,74.648,73.024,76.3,All races,F
di,1978,00-04,,,,All races,F
di,1978,00,,,,All races,F
di,1978,01-04,,,,All races,F
di,1978,05-09,,,,All races,F
di,1978,10-14,,,,All races,F
di,1978,15-19,,,,All races,F
di,1978,20-24,,,,All races,F
di,1978,25-29,2.685,1.738,3.964,All races,F
di,1978,30-34,5.115,3.687,6.914,All races,F
di,1978,35-39,9.896,7.621,12.637,All races,F
di,1978,40-44,23.699,19.8,28.141,All races,F
di,1978,45-49,38.109,33.129,43.627,All races,F
di,1978,50-54,84.36,77.062,92.163,All races,F
di,1978,55-59,126.808,117.593,136.553,All races,F
di,1978,60-64,197.165,184.675,210.277,All races,F
di,1978,65-69,274.661,258.631,291.423,All races,F
di,1978,70-74,369.222,348.401,390.962,All races,F
di,1978,75-79,503.618,475.546,532.914,All races,F
di,1978,80-84,618.985,581.932,657.778,All races,F
di,1978,85+,670.44,627.159,715.921,All races,F
di,1979,All ages,76.464,74.829,78.126,All races,F
di,1979,00-04,,,,All races,F
di,1979,00,,,,All races,F
di,1979,01-04,,,,All races,F
di,1979,05-09,,,,All races,F
di,1979,10-14,,,,All races,F
di,1979,15-19,,,,All races,F
di,1979,20-24,,,,All races,F
di,1979,25-29,2.41,1.528,3.616,All races,F
di,1979,30-34,6.162,4.616,8.061,All races,F
di,1979,35-39,10.372,8.085,13.104,All races,F
di,1979,40-44,22.773,18.985,27.096,All races,F
di,1979,45-49,46.279,40.73,52.373,All races,F
di,1979,50-54,75.896,68.939,83.366,All races,F
di,1979,55-59,132.659,123.321,142.516,All races,F
di,1979,60-64,181.127,169.289,193.573,All races,F
di,1979,65-69,271.839,256.115,288.275,All races,F
di,1979,70-74,387.144,366.018,409.17,All races,F
di,1979,75-79,506.221,478.533,535.094,All races,F
di,1979,80-84,616.419,579.573,654.994,All races,F
di,1979,85+,737.279,693.103,783.531,All races,F
di,1980,All ages,78.613,76.965,80.287,All races,F
di,1980,00-04,,,,All races,F
di,1980,00,,,,All races,F
di,1980,01-04,,,,All races,F
di,1980,05-09,,,,All races,F
di,1980,10-14,,,,All races,F
di,1980,15-19,,,,All races,F
di,1980,20-24,,,,All races,F
di,1980,25-29,2.034,1.243,3.142,All races,F
di,1980,30-34,4.775,3.456,6.432,All races,F
di,1980,35-39,10.562,8.293,13.26,All races,F
di,1980,40-44,21.838,18.164,26.037,All races,F
di,1980,45-49,42.469,37.113,48.382,All races,F
di,1980,50-54,79.112,71.978,86.761,All races,F
di,1980,55-59,127.171,118.093,136.761,All races,F
di,1980,60-64,195.114,182.946,207.878,All races,F
di,1980,65-69,288.06,272.05,304.767,All races,F
di,1980,70-74,386.497,365.635,408.239,All races,F
di,1980,75-79,505.878,478.552,534.359,All races,F
di,1980,80-84,652.529,614.951,691.803,All races,F
di,1980,85+,749.631,706.136,795.104,All races,F
di,1981,All ages,79.702,78.049,81.381,All races,F
