code,year,diag_age,rate,lower95,upper95,Race,Sex
di,2007-2016,60-64,136.192,133.361,139.068,White,F
di,2007-2016,65-69,200.271,196.383,204.216,White,F
di,2007-2016,70-74,278.121,272.773,283.546,White,F
di,2007-2016,75-79,372.066,365.116,379.115,White,F
di,2007-2016,80-84,461.736,453.291,470.299,White,F
di,2007-2016,85+,491.066,483.183,499.045,White,F
di,2012-2016,All ages,80.792,80.04,81.548,White,F
di,2012-2016,00-04,1.371,0.996,1.841,White,F
di,2012-2016,00,2.981,1.795,4.655,White,F
di,2012-2016,01-04,0.972,0.629,1.435,White,F
di,2012-2016,05-09,,,,White,F
di,2012-2016,10-14,0.834,0.554,1.206,White,F
di,2012-2016,15-19,2.155,1.686,2.714,White,F
di,2012-2016,20-24,2.912,2.375,3.535,White,F
di,2012-2016,25-29,5.261,4.536,6.069,White,F
di,2012-2016,30-34,9.053,8.101,10.086,White,F
di,2012-2016,35-39,15.165,13.881,16.536,White,F
di,2012-2016,40-44,26.663,24.963,28.448,White,F
di,2012-2016,45-49,46.601,44.402,48.88,White,F
di,2012-2016,50-54,82.874,80.054,85.768,White,F
di,2012-2016,55-59,100.079,96.962,103.271,White,F
di,2012-2016,60-64,137.802,133.908,141.781,White,F
di,2012-2016,65-69,195.137,190.04,200.336,White,F
di,2012-2016,70-74,263.244,256.228,270.404,White,F
di,2012-2016,75-79,348.479,339.054,358.1,White,F
di,2012-2016,80-84,437.785,425.979,449.836,White,F
di,2012-2016,85+,460.983,450.372,471.78,White,F
di,1975,All ages,74.916,73.126,76.74,White,F
di,1975,00-04,,,,White,F
di,1975,00,,,,White,F
di,1975,01-04,,,,White,F
di,1975,05-09,,,,White,F
di,1975,10-14,,,,White,F
di,1975,15-19,,,,White,F
di,1975,20-24,,,,White,F
di,1975,25-29,,,,White,F
di,1975,30-34,4.313,2.818,6.32,White,F
di,1975,35-39,9.924,7.317,13.157,White,F
di,1975,40-44,22.833,18.675,27.64,White,F
di,1975,45-49,42.843,37.282,48.999,White,F
di,1975,50-54,69.252,62.282,76.788,White,F
di,1975,55-59,125.448,115.419,136.114,White,F
di,1975,60-64,181.132,168.043,194.97,White,F
di,1975,65-69,293.082,274.944,312.102,White,F
di,1975,70-74,372.287,349.534,396.133,White,F
di,1975,75-79,496.043,466.222,527.27,White,F
di,1975,80-84,566.153,528.619,605.649,White,F
di,1975,85+,680.627,632.143,731.844,White,F
di,1976,All ages,77.563,75.745,79.414,White,F
di,1976,00-04,,,,White,F
di,1976,00,,,,White,F
di,1976,01-04,,,,White,F
di,1976,05-09,,,,White,F
di,1976,10-14,,,,White,F
di,1976,15-19,,,,White,F
di,1976,20-24,,,,White,F
di,1976,25-29,2.105,1.203,3.419,White,F
di,1976,30-34,5.386,3.707,7.564,White,F
di,1976,35-39,8.69,6.289,11.706,White,F
di,1976,40-44,17.524,13.895,21.81,White,F
di,1976,45-49,43.333,37.683,49.591,White,F
di,1976,50-54,74.317,67.06,82.146,White,F
di,1976,55-59,132.059,121.835,142.912,White,F
di,1976,60-64,182.662,169.624,196.437,White,F
di,1976,65-69,285.757,268.064,304.311,White,F
di,1976,70-74,376.528,353.882,400.244,White,F
di,1976,75-79,510.587,480.336,542.243,White,F
di,1976,80-84,599.098,560.55,639.599,White,F
di,1976,85+,745.041,694.762,797.997,White,F
di,1977,All ages,78.17,76.35,80.023,White,F
di,1977,00-04,,,,White,F
di,1977,00,,,,White,F
di,1977,01-04,,,,White,F
di,1977,05-09,,,,White,F
di,1977,10-14,,,,White,F
di,1977,15-19,,,,White,F
di,1977,20-24,,,,White,F
di,1977,25-29,2.391,1.417,3.78,White,F
di,1977,30-34,3.913,2.556,5.734,White,F
di,1977,35-39,9.572,7.082,12.655,White,F
di,1977,40-44,20.375,16.446,24.961,White,F
di,1977,45-49,47.446,41.461,54.052,White,F
di,1977,50-54,74.838,67.492,82.765,White,F
di,1977,55-59,117.034,107.49,127.198,White,F
di,1977,60-64,187.986,174.865,201.83,White,F
di,1977,65-69,276.12,258.901,294.184,White,F
di,1977,70-74,378.281,355.796,401.815,White,F
di,1977,75-79,501.933,472.195,533.053,White,F
di,1977,80-84,614.6,575.933,655.18,White,F
di,1977,85+,739.557,690.977,790.652,White,F
di,1978,All ages,78.293,76.477,80.14,White,F
di,1978,00-04,,,,White,F
di,1978,00,,,,White,F
di,1978,01-04,,,,White,F
di,1978,05-09,,,,White,F
di,1978,10-14,,,,White,F
di,1978,15-19,,,,White,F
di,1978,20-24,,,,White,F
di,1978,25-29,2.745,1.699,4.197,White,F
di,1978,30-34,5.404,3.805,7.448,White,F
di,1978,35-39,8.464,6.197,11.29,White,F
di,1978,40-44,20.844,16.884,25.454,White,F
di,1978,45-49,35.396,30.201,41.228,White,F
di,1978,50-54,81.904,74.158,90.24,White,F
di,1978,55-59,121.711,112.046,131.985,White,F
di,1978,60-64,194.844,181.599,208.8,White,F
di,1978,65-69,277.397,260.273,295.351,White,F
di,1978,70-74,367.525,345.628,390.445,White,F
di,1978,75-79,486.904,457.949,517.209,White,F
di,1978,80-84,623.772,585.091,664.338,White,F
di,1978,85+,671.119,626.153,718.462,White,F
di,1979,All ages,80.619,78.783,82.486,White,F
di,1979,00-04,,,,White,F
di,1979,00,,,,White,F
di,1979,01-04,,,,White,F
di,1979,05-09,,,,White,F
di,1979,10-14,,,,White,F
di,1979,15-19,,,,White,F
di,1979,20-24,,,,White,F
di,1979,25-29,2.049,1.171,3.327,White,F
di,1979,30-34,5.893,4.247,7.965,White,F
di,1979,35-39,9.9,7.479,12.856,White,F
di,1979,40-44,21.396,17.409,26.024,White,F
di,1979,45-49,44.488,38.578,51.047,White,F
di,1979,50-54,68.995,61.835,76.757,White,F
di,1979,55-59,128.025,118.184,138.468,White,F
di,1979,60-64,180.189,167.572,193.504,White,F
di,1979,65-69,269.126,252.462,286.6,White,F
di,1979,70-74,389.67,367.298,413.049,White,F
di,1979,75-79,507.91,478.762,538.368,White,F
di,1979,80-84,614.095,575.819,654.246,White,F
di,1979,85+,740.075,694.089,788.308,White,F
di,1980,All ages,82.975,81.118,84.863,White,F
di,1980,00-04,,,,White,F
di,1980,00,,,,White,F
di,1980,01-04,,,,White,F
di,1980,05-09,,,,White,F
di,1980,10-14,,,,White,F
di,1980,15-19,,,,White,F
di,1980,20-24,,,,White,F
di,1980,25-29,,,,White,F
di,1980,30-34,4.328,2.96,6.109,White,F
di,1980,35-39,9.596,7.249,12.462,White,F
di,1980,40-44,18.996,15.275,23.35,White,F
di,1980,45-49,41.03,35.3,47.424,White,F
di,1980,50-54,73.697,66.24,81.765,White,F
di,1980,55-59,122.434,112.863,132.599,White,F
di,1980,60-64,192.546,179.614,206.163,White,F
di,1980,65-69,285.256,268.261,303.046,White,F
di,1980,70-74,388.166,366.072,411.245,White,F
di,1980,75-79,505.039,476.33,535.027,White,F
di,1980,80-84,644.563,605.646,685.324,White,F
di,1980,85+,759.685,714.145,807.367,White,F
di,1981,All ages,84.526,82.656,86.428,White,F
di,1981,00-04,,,,White,F
di,1981,00,,,,White,F
di,1981,01-04,,,,White,F
di,1981,05-09,,,,White,F
di,1981,10-14,,,,White,F
di,1981,15-19,,,,White,F
di,1981,20-24,,,,White,F
di,1981,25-29,,,,White,F
di,1981,30-34,3.496,2.304,5.087,White,F
di,1981,35-39,10.975,8.47,13.988,White,F
di,1981,40-44,18.788,15.127,23.068,White,F
di,1981,45-49,42.278,36.42,48.81,White,F
di,1981,50-54,78.575,70.803,86.968,White,F
di,1981,55-59,120.335,110.78,130.493,White,F
di,1981,60-64,191.368,178.569,204.843,White,F
di,1981,65-69,268.03,251.673,285.172,White,F
di,1981,70-74,393.415,371.405,416.389,White,F
di,1981,75-79,524.102,495.172,554.281,White,F
di,1981,80-84,687.589,647.658,729.337,White,F
