Minor,Gender,Race,Age,Calendar Period,Rate
82,1,1,1,1,3.94059164E-06
82,1,1,1,2,4.395514052E-06
82,1,1,1,3,1.0241932252E-05
82,1,1,1,4,1.5908876281E-05
82,1,1,1,5,1.6778095445E-05
82,1,1,1,6,1.1947947389E-05
82,1,1,1,7,1.577476127E-06
82,1,1,1,8,1.218104405E-06
82,1,1,1,9,1.08772968E-06
82,1,1,1,10,1.098695483E-06
82,1,1,1,11,1.392312004E-06
82,1,1,1,12,1.178178797E-06
82,1,1,1,13,1.212709869E-06
82,1,1,1,14,9.87605132E-07
82,1,1,1,15,9.87605132E-07
82,1,1,2,1,1.650716617E-06
82,1,1,2,2,2.940434934E-06
82,1,1,2,3,6.835726109E-06
82,1,1,2,4,8.260851423E-06
82,1,1,2,5,9.337109762E-06
82,1,1,2,6,8.431468014E-06
82,1,1,2,7,2.154878187E-06
82,1,1,2,8,1.146070879E-06
82,1,1,2,9,1.061424045E-06
82,1,1,2,10,1.347792418E-06
82,1,1,2,11,9.96324253E-07
82,1,1,2,12,1.324888165E-06
82,1,1,2,13,1.444690905E-06
82,1,1,2,14,1.755563302E-06
82,1,1,2,15,1.755563302E-06
82,1,1,3,1,1.521523349E-06
82,1,1,3,2,1.53144018E-06
82,1,1,3,3,2.767059692E-06
82,1,1,3,4,3.893071664E-06
82,1,1,3,5,4.34119807E-06
82,1,1,3,6,3.935309292E-06
82,1,1,3,7,1.70494236E-06
82,1,1,3,8,1.565090917E-06
82,1,1,3,9,1.295658047E-06
82,1,1,3,10,1.504815752E-06
82,1,1,3,11,1.414753806E-06
82,1,1,3,12,1.667758961E-06
82,1,1,3,13,1.77820988E-06
82,1,1,3,14,1.881603723E-06
82,1,1,3,15,1.881603723E-06
82,1,1,4,1,1.3226788E-06
82,1,1,4,2,1.700024934E-06
82,1,1,4,3,2.23197067E-06
82,1,1,4,4,2.941426902E-06
82,1,1,4,5,2.523176345E-06
82,1,1,4,6,3.196370841E-06
82,1,1,4,7,2.454610767E-06
82,1,1,4,8,2.076474135E-06
82,1,1,4,9,1.767584327E-06
