Minor,Gender,Race,Age,Calendar Period,Rate
78,1,1,1,1,2.139178319E-06
78,1,1,1,2,4.8839045E-07
78,1,1,1,3,4.04819457E-07
78,1,1,1,4,6.53789436E-07
78,1,1,1,5,3.13024169E-07
78,1,1,1,6,2.88851475E-07
78,1,1,1,7,3.10714995E-07
78,1,1,1,8,7.0275254E-08
78,1,1,1,9,1.38859108E-07
78,1,1,1,10,5.1102115E-08
78,1,1,1,11,5.569248E-08
78,1,1,1,12,2.5612583E-08
78,1,1,1,13,0
78,1,1,1,14,1.41086447E-07
78,1,1,1,15,1.41086447E-07
78,1,1,2,1,2.08304716E-06
78,1,1,2,2,4.76827287E-07
78,1,1,2,3,4.47577305E-07
78,1,1,2,4,5.93086769E-07
78,1,1,2,5,6.97377493E-07
78,1,1,2,6,2.21880737E-07
78,1,1,2,7,2.72769391E-07
78,1,1,2,8,2.19460381E-07
78,1,1,2,9,6.7750471E-08
78,1,1,2,10,4.8135444E-08
78,1,1,2,11,5.1093551E-08
78,1,1,2,12,5.5203674E-08
78,1,1,2,13,9.9633856E-08
78,1,1,2,14,1.20244062E-07
78,1,1,2,15,1.20244062E-07
78,1,1,3,1,2.122124671E-06
78,1,1,3,2,6.89148081E-07
78,1,1,3,3,4.61176615E-07
78,1,1,3,4,5.73715824E-07
78,1,1,3,5,5.2255162E-07
78,1,1,3,6,4.3324506E-07
78,1,1,3,7,1.26292027E-07
78,1,1,3,8,3.77780566E-07
78,1,1,3,9,1.88459352E-07
78,1,1,3,10,1.59601671E-07
78,1,1,3,11,9.5915512E-08
78,1,1,3,12,1.32361822E-07
78,1,1,3,13,1.85783122E-07
78,1,1,3,14,3.26144645E-07
78,1,1,3,15,3.26144645E-07
78,1,1,4,1,2.133352903E-06
78,1,1,4,2,7.28582114E-07
78,1,1,4,3,5.48203322E-07
78,1,1,4,4,8.12762697E-07
78,1,1,4,5,5.04635269E-07
78,1,1,4,6,2.79682449E-07
78,1,1,4,7,3.66359816E-07
78,1,1,4,8,3.91219765E-07
78,1,1,4,9,2.02009637E-07
78,1,1,4,10,4.13313109E-07
78,1,1,4,11,3.68215547E-07
78,1,1,4,12,3.77097715E-07
78,1,1,4,13,4.62033728E-07
78,1,1,4,14,8.16775773E-07
78,1,1,4,15,8.16775773E-07
78,1,1,5,1,2.402417648E-06
78,1,1,5,2,1.049756792E-06
78,1,1,5,3,1.027149132E-06
78,1,1,5,4,1.132187195E-06
