Minor,Gender,Race,Age,Calendar Period,Rate
47,1,1,1,1,7.50588884E-07
47,1,1,1,2,8.13984084E-07
47,1,1,1,3,8.50120859E-07
47,1,1,1,4,6.53789436E-07
47,1,1,1,5,9.07770089E-07
47,1,1,1,6,1.811886527E-06
47,1,1,1,7,3.011545333E-06
47,1,1,1,8,3.93541423E-06
47,1,1,1,9,3.402048149E-06
47,1,1,1,10,2.963922699E-06
47,1,1,1,11,2.004929286E-06
47,1,1,1,12,1.434304622E-06
47,1,1,1,13,1.770556409E-06
47,1,1,1,14,1.152205988E-06
47,1,1,1,15,1.152205988E-06
47,1,1,2,1,2.08304716E-06
47,1,1,2,2,2.702021291E-06
47,1,1,2,3,2.319264215E-06
47,1,1,2,4,2.372347075E-06
47,1,1,2,5,2.479564418E-06
47,1,1,2,6,3.29651381E-06
47,1,1,2,7,4.828018217E-06
47,1,1,2,8,6.364351051E-06
47,1,1,2,9,5.284536734E-06
47,1,1,2,10,3.537955098E-06
47,1,1,2,11,4.496232528E-06
47,1,1,2,12,4.057470005E-06
47,1,1,2,13,4.109896541E-06
47,1,1,2,14,2.693466984E-06
47,1,1,2,15,2.693466984E-06
47,1,1,3,1,8.328338332E-06
47,1,1,3,2,6.010902705E-06
47,1,1,3,3,5.649413537E-06
47,1,1,3,4,4.302868682E-06
47,1,1,3,5,3.818646451E-06
47,1,1,3,6,5.090629451E-06
47,1,1,3,7,8.335273758E-06
47,1,1,3,8,8.500062739E-06
47,1,1,3,9,8.433556017E-06
47,1,1,3,10,7.888882581E-06
47,1,1,3,11,9.471656834E-06
47,1,1,3,12,7.094593673E-06
47,1,1,3,13,7.855972006E-06
47,1,1,3,14,5.870603617E-06
47,1,1,3,15,5.870603617E-06
47,1,1,4,1,2.5344232491E-05
47,1,1,4,2,1.9388379601E-05
47,1,1,4,3,1.3626768298E-05
47,1,1,4,4,1.025629117E-05
47,1,1,4,5,1.1723065481E-05
47,1,1,4,6,1.146698039E-05
47,1,1,4,7,1.7182275366E-05
47,1,1,4,8,1.4565412772E-05
47,1,1,4,9,1.4670949911E-05
47,1,1,4,10,1.7014722994E-05
47,1,1,4,11,1.8519076056E-05
47,1,1,4,12,1.7087240213E-05
47,1,1,4,13,1.4177140181E-05
47,1,1,4,14,1.0091132943E-05
47,1,1,4,15,1.0091132943E-05
47,1,1,5,1,4.7640395248E-05
47,1,1,5,2,3.8966972132E-05
47,1,1,5,3,2.7258957728E-05
47,1,1,5,4,2.0341629938E-05
47,1,1,5,5,2.5897640144E-05
47,1,1,5,6,2.9316118973E-05
47,1,1,5,7,3.171508064E-05
47,1,1,5,8,2.6088716792E-05
47,1,1,5,9,2.3249160766E-05
47,1,1,5,10,3.1679341086E-05
47,1,1,5,11,3.7306922485E-05
47,1,1,5,12,3.3683012508E-05
47,1,1,5,13,3.3289621919E-05
47,1,1,5,14,2.1070008086E-05
47,1,1,5,15,2.1070008086E-05
47,1,1,6,1,5.9777238883E-05
47,1,1,6,2,5.4728908417E-05
47,1,1,6,3,4.3685952132E-05
47,1,1,6,4,3.5100813976E-05
47,1,1,6,5,3.7472251253E-05
47,1,1,6,6,4.8751294171E-05
47,1,1,6,7,5.010956092E-05
47,1,1,6,8,4.6722346489E-05
47,1,1,6,9,3.8017064509E-05
47,1,1,6,10,3.865799805E-05
47,1,1,6,11,5.2544476332E-05
47,1,1,6,12,5.5365544302E-05
47,1,1,6,13,5.8776750426E-05
47,1,1,6,14,4.6636709457E-05
47,1,1,6,15,4.6636709457E-05
47,1,1,7,1,6.6323345818E-05
47,1,1,7,2,6.6901711025E-05
47,1,1,7,3,5.5815714879E-05
47,1,1,7,4,4.9405455186E-05
47,1,1,7,5,5.4052923538E-05
47,1,1,7,6,6.502548972E-05
47,1,1,7,7,7.8738234447E-05
47,1,1,7,8,6.9668875274E-05
47,1,1,7,9,5.589981793E-05
47,1,1,7,10,5.3948720174E-05
47,1,1,7,11,6.7557704945E-05
47,1,1,7,12,7.6510499834E-05
47,1,1,7,13,8.4246015825E-05
47,1,1,7,14,7.3045552239E-05
47,1,1,7,15,7.3045552239E-05
47,1,1,8,1,7.3745621354E-05
47,1,1,8,2,6.3827243831E-05
47,1,1,8,3,5.7929919254E-05
47,1,1,8,4,5.2723176238E-05
47,1,1,8,5,6.6001465641E-05
47,1,1,8,6,7.9491544573E-05
47,1,1,8,7,8.8956840886E-05
47,1,1,8,8,9.3124194127E-05
47,1,1,8,9,7.4295561773E-05
47,1,1,8,10,6.5414515212E-05
47,1,1,8,11,7.9418354433E-05
47,1,1,8,12,8.0142650749E-05
47,1,1,8,13,9.2850457757E-05
47,1,1,8,14,9.4315221107E-05
47,1,1,8,15,9.4315221107E-05
47,1,1,9,1,7.7702928605E-05
47,1,1,9,2,6.8321395859E-05
47,1,1,9,3,5.2582527053E-05
47,1,1,9,4,4.7118858564E-05
47,1,1,9,5,6.3270461012E-05
47,1,1,9,6,8.6104256981E-05
