Minor,Gender,Race,Age,Calendar Period,Rate
81,1,1,1,1,3.640356087E-06
81,1,1,1,2,5.69788859E-07
81,1,1,1,3,4.0481946E-08
81,1,1,1,4,1.08964906E-07
81,1,1,1,5,1.87814501E-07
81,1,1,1,6,7.8777675E-08
81,1,1,1,7,2.3901153E-08
81,1,1,1,8,1.17125424E-07
81,1,1,1,9,4.6286369E-08
81,1,1,1,10,0
81,1,1,1,11,0
81,1,1,1,12,5.1225165E-08
81,1,1,1,13,0
81,1,1,1,14,0
81,1,1,1,15,0
81,1,1,2,1,3.340736011E-06
81,1,1,2,2,7.1524093E-07
81,1,1,2,3,1.62755384E-07
81,1,1,2,4,4.2363341E-08
81,1,1,2,5,1.54972776E-07
81,1,1,2,6,9.5091745E-08
81,1,1,2,7,8.1830817E-08
81,1,1,2,8,1.21922434E-07
81,1,1,2,9,2.258349E-08
81,1,1,2,10,7.2203165E-08
81,1,1,2,11,2.5546776E-08
81,1,1,2,12,2.7601837E-08
81,1,1,2,13,2.4908464E-08
81,1,1,2,14,9.6195249E-08
81,1,1,2,15,9.6195249E-08
81,1,1,3,1,2.522525553E-06
81,1,1,3,2,6.12576072E-07
81,1,1,3,3,3.84313846E-07
81,1,1,3,4,2.4587821E-07
81,1,1,3,5,1.60785114E-07
81,1,1,3,6,1.08311265E-07
81,1,1,3,7,1.8943804E-07
81,1,1,3,8,5.3968652E-08
81,1,1,3,9,9.4229676E-08
81,1,1,3,10,1.14001193E-07
81,1,1,3,11,7.1936634E-08
81,1,1,3,12,5.2944729E-08
81,1,1,3,13,1.06161784E-07
81,1,1,3,14,1.25440248E-07
81,1,1,3,15,1.25440248E-07
81,1,1,4,1,2.389355252E-06
81,1,1,4,2,1.052396388E-06
81,1,1,4,3,7.83147603E-07
81,1,1,4,4,3.87029855E-07
81,1,1,4,5,1.5527239E-07
81,1,1,4,6,1.99773178E-07
81,1,1,4,7,2.1981589E-07
81,1,1,4,8,9.0281484E-08
81,1,1,4,9,5.0502409E-08
81,1,1,4,10,1.37771036E-07
81,1,1,4,11,1.51618167E-07
81,1,1,4,12,7.0705822E-08
81,1,1,4,13,2.18858082E-07
81,1,1,4,14,2.10780845E-07
81,1,1,4,15,2.10780845E-07
81,1,1,5,1,3.218333076E-06
81,1,1,5,2,1.259708151E-06
81,1,1,5,3,5.53080302E-07
81,1,1,5,4,6.79312317E-07
81,1,1,5,5,4.90771606E-07
81,1,1,5,6,3.22155154E-07
81,1,1,5,7,1.59372265E-07
81,1,1,5,8,1.44335916E-07
81,1,1,5,9,1.83546006E-07
81,1,1,5,10,1.81766711E-07
81,1,1,5,11,2.49772457E-07
81,1,1,5,12,1.49797387E-07
81,1,1,5,13,5.46478062E-07
81,1,1,5,14,5.6024299E-07
81,1,1,5,15,5.6024299E-07
81,1,1,6,1,3.926971897E-06
81,1,1,6,2,1.404467021E-06
81,1,1,6,3,6.39306617E-07
81,1,1,6,4,6.45532211E-07
81,1,1,6,5,5.84286662E-07
81,1,1,6,6,5.02590662E-07
81,1,1,6,7,2.34522126E-07
81,1,1,6,8,5.25879225E-07
81,1,1,6,9,3.60351322E-07
81,1,1,6,10,4.12194953E-07
81,1,1,6,11,4.02639665E-07
81,1,1,6,12,5.40811178E-07
81,1,1,6,13,8.83698851E-07
81,1,1,6,14,8.04477492E-07
81,1,1,6,15,8.04477492E-07
81,1,1,7,1,4.825382745E-06
81,1,1,7,2,1.992604945E-06
81,1,1,7,3,1.130444858E-06
81,1,1,7,4,9.96776727E-07
81,1,1,7,5,1.218322845E-06
81,1,1,7,6,5.83711757E-07
