Minor,Gender,Race,Age,Calendar Period,Rate
11,1,1,1,1,0
11,1,1,1,2,0
11,1,1,1,3,6.47711131E-07
11,1,1,1,4,7.26432707E-07
11,1,1,1,5,8.13862839E-07
11,1,1,1,6,9.19072876E-07
11,1,1,1,7,8.3654037E-07
11,1,1,1,8,1.030703727E-06
11,1,1,1,9,6.48009171E-07
11,1,1,1,10,5.11021155E-07
11,1,1,1,11,6.40463522E-07
11,1,1,1,12,5.89089398E-07
11,1,1,1,13,6.54863329E-07
11,1,1,1,14,7.05432237E-07
11,1,1,1,15,7.05432237E-07
11,1,1,2,1,0
11,1,1,2,2,0
11,1,1,2,3,5.69643842E-07
11,1,1,2,4,9.31993494E-07
11,1,1,2,5,1.046066239E-06
11,1,1,2,6,1.172798182E-06
11,1,1,2,7,1.909385736E-06
11,1,1,2,8,1.267993313E-06
11,1,1,2,9,1.196924987E-06
11,1,1,2,10,9.6270887E-07
11,1,1,2,11,9.45230702E-07
11,1,1,2,12,1.02126796E-06
11,1,1,2,13,9.21613164E-07
11,1,1,2,14,8.65757245E-07
11,1,1,2,15,8.65757245E-07
11,1,1,3,1,0
11,1,1,3,2,0
11,1,1,3,3,1.92156923E-06
11,1,1,3,4,1.147431648E-06
11,1,1,3,5,1.808832529E-06
11,1,1,3,6,1.480253954E-06
11,1,1,3,7,1.547077326E-06
11,1,1,3,8,1.726996874E-06
11,1,1,3,9,1.507674819E-06
11,1,1,3,10,1.436415036E-06
11,1,1,3,11,1.294859415E-06
11,1,1,3,12,1.826593147E-06
11,1,1,3,13,1.300481852E-06
11,1,1,3,14,1.630723227E-06
11,1,1,3,15,1.630723227E-06
11,1,1,4,1,0
11,1,1,4,2,0
11,1,1,4,3,3.994052777E-06
11,1,1,4,4,2.631803017E-06
11,1,1,4,5,3.027811614E-06
11,1,1,4,6,2.836779121E-06
11,1,1,4,7,3.407146288E-06
11,1,1,4,8,2.287130931E-06
11,1,1,4,9,2.878637332E-06
11,1,1,4,10,2.548764173E-06
11,1,1,4,11,2.70746726E-06
11,1,1,4,12,2.121174647E-06
11,1,1,4,13,2.431756463E-06
11,1,1,4,14,2.344936898E-06
11,1,1,4,15,2.344936898E-06
11,1,1,5,1,0
11,1,1,5,2,0
11,1,1,5,3,8.059170111E-06
11,1,1,5,4,6.038331707E-06
11,1,1,5,5,5.171977696E-06
11,1,1,5,6,5.47663761E-06
11,1,1,5,7,4.661638737E-06
11,1,1,5,8,4.582665329E-06
11,1,1,5,9,5.384016178E-06
11,1,1,5,10,5.712668065E-06
11,1,1,5,11,6.10807191E-06
11,1,1,5,12,5.670901089E-06
11,1,1,5,13,6.056798516E-06
11,1,1,5,14,4.969111734E-06
11,1,1,5,15,4.969111734E-06
11,1,1,6,1,0
11,1,1,6,2,0
11,1,1,6,3,1.7303899088E-05
11,1,1,6,4,1.024782385E-05
11,1,1,6,5,1.1841543015E-05
11,1,1,6,6,1.1675567676E-05
11,1,1,6,7,1.2390585656E-05
11,1,1,6,8,8.859042321E-06
11,1,1,6,9,9.909661365E-06
11,1,1,6,10,9.657138888E-06
11,1,1,6,11,1.3538758748E-05
11,1,1,6,12,1.7260890084E-05
11,1,1,6,13,1.6100561998E-05
11,1,1,6,14,1.4043878501E-05
11,1,1,6,15,1.4043878501E-05
11,1,1,7,1,0
11,1,1,7,2,0
11,1,1,7,3,4.220327471E-05
11,1,1,7,4,2.5829518676E-05
11,1,1,7,5,2.7737150095E-05
11,1,1,7,6,2.5138519664E-05
11,1,1,7,7,2.2976715561E-05
11,1,1,7,8,2.1670139712E-05
11,1,1,7,9,2.0432623006E-05
11,1,1,7,10,1.960461174E-05
11,1,1,7,11,2.5144239886E-05
11,1,1,7,12,3.9790620824E-05
11,1,1,7,13,5.2584478628E-05
11,1,1,7,14,4.763935507E-05
11,1,1,7,15,4.763935507E-05
11,1,1,8,1,0
11,1,1,8,2,0
11,1,1,8,3,7.6723582898E-05
11,1,1,8,4,5.6592767154E-05
11,1,1,8,5,5.3073343505E-05
11,1,1,8,6,5.2367884818E-05
11,1,1,8,7,4.6127296085E-05
11,1,1,8,8,4.3844782931E-05
11,1,1,8,9,3.8296681327E-05
11,1,1,8,10,3.8802419321E-05
11,1,1,8,11,4.6997939554E-05
11,1,1,8,12,6.1445867854E-05
11,1,1,8,13,9.68660328E-05
11,1,1,8,14,0.000127460620106
11,1,1,8,15,0.000127460620106
11,1,1,9,1,0
11,1,1,9,2,0
11,1,1,9,3,0.000120072171411
11,1,1,9,4,9.2028157523E-05
11,1,1,9,5,0.000103896211571
11,1,1,9,6,9.7475608211E-05
11,1,1,9,7,8.6809746334E-05
11,1,1,9,8,7.6287478775E-05
11,1,1,9,9,7.7289282351E-05
11,1,1,9,10,8.4291843425E-05
11,1,1,9,11,8.8934325179E-05
11,1,1,9,12,0.000100507630053
11,1,1,9,13,0.000118890117887
11,1,1,9,14,0.000187677993737
11,1,1,9,15,0.000187677993737
11,1,1,10,1,0
11,1,1,10,2,0
11,1,1,10,3,0.000207855098462
11,1,1,10,4,0.000164286130361
11,1,1,10,5,0.00017426361585
11,1,1,10,6,0.000155079968105
11,1,1,10,7,0.000146331190241
11,1,1,10,8,0.000132817950036
11,1,1,10,9,0.000129249226663
11,1,1,10,10,0.000138758390109
11,1,1,10,11,0.000155712402813
11,1,1,10,12,0.000171499638983
11,1,1,10,13,0.000174411253378
11,1,1,10,14,0.000203619063222
11,1,1,10,15,0.000203619063222
11,1,1,11,1,0
11,1,1,11,2,0
11,1,1,11,3,0.000313986859323
11,1,1,11,4,0.000249340453023
