Minor,Gender,Race,Age,Calendar Period,Rate
26,1,1,1,1,1.12588333E-07
26,1,1,1,2,1.22097613E-07
26,1,1,1,3,8.0963891E-08
26,1,1,1,4,1.08964906E-07
26,1,1,1,5,0
26,1,1,1,6,7.8777675E-08
26,1,1,1,7,2.3901153E-08
26,1,1,1,8,7.0275254E-08
26,1,1,1,9,2.3143185E-08
26,1,1,1,10,5.1102115E-08
26,1,1,1,11,8.353872E-08
26,1,1,1,12,0
26,1,1,1,13,4.8508395E-08
26,1,1,1,14,2.3514408E-08
26,1,1,1,15,2.3514408E-08
26,1,1,2,1,1.1790833E-07
26,1,1,2,2,3.57620465E-07
26,1,1,2,3,1.62755384E-07
26,1,1,2,4,4.2363341E-08
26,1,1,2,5,1.54972776E-07
26,1,1,2,6,6.3394496E-08
26,1,1,2,7,1.09107756E-07
26,1,1,2,8,1.21922434E-07
26,1,1,2,9,2.258349E-08
26,1,1,2,10,2.4067722E-08
26,1,1,2,11,1.27733879E-07
26,1,1,2,12,0
26,1,1,2,13,9.9633856E-08
26,1,1,2,14,1.20244062E-07
26,1,1,2,15,1.20244062E-07
26,1,1,3,1,9.20922027E-07
26,1,1,3,2,4.97718058E-07
26,1,1,3,3,3.84313846E-07
26,1,1,3,4,2.4587821E-07
26,1,1,3,5,1.20588835E-07
26,1,1,3,6,2.52726285E-07
26,1,1,3,7,3.15730067E-07
26,1,1,3,8,1.88890283E-07
26,1,1,3,9,1.41344514E-07
26,1,1,3,10,1.82401909E-07
26,1,1,3,11,1.43873268E-07
26,1,1,3,12,2.11778916E-07
26,1,1,3,13,1.59242676E-07
26,1,1,3,14,1.00352199E-07
26,1,1,3,15,1.00352199E-07
26,1,1,4,1,2.005351729E-06
26,1,1,4,2,1.619071365E-06
26,1,1,4,3,1.096406645E-06
26,1,1,4,4,7.35356725E-07
26,1,1,4,5,9.31634343E-07
26,1,1,4,6,7.9909271E-07
26,1,1,4,7,6.9608365E-07
26,1,1,4,8,4.51407421E-07
26,1,1,4,9,4.79772889E-07
26,1,1,4,10,5.97007824E-07
26,1,1,4,11,6.93111618E-07
26,1,1,4,12,5.42077965E-07
26,1,1,4,13,4.62033728E-07
26,1,1,4,14,7.37732957E-07
26,1,1,4,15,7.37732957E-07
26,1,1,5,1,4.396877582E-06
26,1,1,5,2,4.366988256E-06
26,1,1,5,3,3.081447395E-06
26,1,1,5,4,2.075676524E-06
26,1,1,5,5,2.114093073E-06
26,1,1,5,6,2.335624863E-06
26,1,1,5,7,2.549956232E-06
26,1,1,5,8,1.515527117E-06
26,1,1,5,9,1.743687057E-06
26,1,1,5,10,1.713800419E-06
26,1,1,5,11,1.498634744E-06
26,1,1,5,12,1.818968274E-06
