Minor,Gender,Race,Age,Calendar Period,Rate
8,1,1,1,1,6.38000551E-07
8,1,1,1,2,1.098878513E-06
8,1,1,1,3,5.66747239E-07
8,1,1,1,4,2.54251447E-07
8,1,1,1,5,1.87814501E-07
8,1,1,1,6,1.050369E-07
8,1,1,1,7,2.39011534E-07
8,1,1,1,8,1.63975593E-07
8,1,1,1,9,2.3143185E-08
8,1,1,1,10,1.53306346E-07
8,1,1,1,11,1.392312E-07
8,1,1,1,12,7.6837748E-08
8,1,1,1,13,1.45525184E-07
8,1,1,1,14,1.1757204E-07
8,1,1,1,15,1.1757204E-07
8,1,1,2,1,2.161652713E-06
8,1,1,2,2,2.42387204E-06
8,1,1,2,3,1.342731914E-06
8,1,1,2,4,1.313263559E-06
8,1,1,2,5,8.91093463E-07
8,1,1,2,6,7.92431204E-07
8,1,1,2,7,4.36431025E-07
8,1,1,2,8,3.90151789E-07
8,1,1,2,9,5.19420277E-07
8,1,1,2,10,4.33218992E-07
8,1,1,2,11,6.64216169E-07
8,1,1,2,12,5.24434899E-07
8,1,1,2,13,4.4835235E-07
8,1,1,2,14,7.21464371E-07
8,1,1,2,15,7.21464371E-07
8,1,1,3,1,6.126133485E-06
8,1,1,3,2,5.781186679E-06
8,1,1,3,3,3.689412922E-06
8,1,1,3,4,2.991518226E-06
8,1,1,3,5,2.170599035E-06
8,1,1,3,6,2.166225298E-06
8,1,1,3,7,1.736515366E-06
8,1,1,3,8,1.726996874E-06
8,1,1,3,9,2.073052876E-06
8,1,1,3,10,1.413614798E-06
8,1,1,3,11,1.48669044E-06
8,1,1,3,12,1.667758961E-06
8,1,1,3,13,1.804750326E-06
8,1,1,3,14,1.881603723E-06
8,1,1,3,15,1.881603723E-06
8,1,1,4,1,1.4037462104E-05
8,1,1,4,2,1.262875665E-05
8,1,1,4,3,9.750187662E-06
8,1,1,4,4,8.243735922E-06
8,1,1,4,5,7.142529962E-06
8,1,1,4,6,5.194102616E-06
8,1,1,4,7,4.432953772E-06
8,1,1,4,8,4.45388655E-06
8,1,1,4,9,3.913936723E-06
8,1,1,4,10,3.857589019E-06
8,1,1,4,11,3.48721783E-06
8,1,1,4,12,3.6059969E-06
8,1,1,4,13,4.231256246E-06
8,1,1,4,14,3.7677076E-06
8,1,1,4,15,3.7677076E-06
8,1,1,5,1,3.3225889359E-05
8,1,1,5,2,3.0652898337E-05
8,1,1,5,3,2.3861464446E-05
8,1,1,5,4,1.9360401036E-05
8,1,1,5,5,1.7365764528E-05
8,1,1,5,6,1.2604320382E-05
8,1,1,5,7,1.143495998E-05
8,1,1,5,8,9.345750552E-06
8,1,1,5,9,8.19838827E-06
8,1,1,5,10,9.322035615E-06
8,1,1,5,11,8.128958155E-06
8,1,1,5,12,7.083276455E-06
8,1,1,5,13,7.468533509E-06
8,1,1,5,14,7.356234037E-06
8,1,1,5,15,7.356234037E-06
8,1,1,6,1,8.154526829E-05
8,1,1,6,2,6.5919339194E-05
8,1,1,6,3,5.0888806679E-05
8,1,1,6,4,4.0749220822E-05
8,1,1,6,5,3.4356055722E-05
8,1,1,6,6,2.8222398687E-05
8,1,1,6,7,2.4820258334E-05
8,1,1,6,8,1.9942958285E-05
8,1,1,6,9,1.8305847176E-05
8,1,1,6,10,1.8637100355E-05
8,1,1,6,11,1.8697579461E-05
8,1,1,6,12,1.4173759612E-05
8,1,1,6,13,1.2350230288E-05
8,1,1,6,14,1.2411938446E-05
8,1,1,6,15,1.2411938446E-05
8,1,1,7,1,0.000168426391353
8,1,1,7,2,0.000136792329467
8,1,1,7,3,0.000104895862478
8,1,1,7,4,8.3989273816E-05
8,1,1,7,5,6.7413864067E-05
8,1,1,7,6,5.5919586312E-05
8,1,1,7,7,5.1814838152E-05
8,1,1,7,8,4.3049125916E-05
8,1,1,7,9,3.8825982267E-05
8,1,1,7,10,3.3551274871E-05
