Minor,Gender,Race,Age,Calendar Period,Rate
57,1,1,1,1,1.3660717687E-05
57,1,1,1,2,1.1802769215E-05
57,1,1,1,3,1.1092053111E-05
57,1,1,1,4,1.2530964194E-05
57,1,1,1,5,1.3741761008E-05
57,1,1,1,6,1.2341835764E-05
57,1,1,1,7,1.3026128621E-05
57,1,1,1,8,9.206058289E-06
57,1,1,1,9,6.086657572E-06
57,1,1,1,10,4.19037347E-06
57,1,1,1,11,4.176936012E-06
57,1,1,1,12,3.739437051E-06
57,1,1,1,13,3.565367014E-06
57,1,1,1,14,3.433103555E-06
57,1,1,1,15,3.433103555E-06
57,1,1,2,1,2.0083718844E-05
57,1,1,2,2,1.9788332394E-05
57,1,1,2,3,1.9164446412E-05
57,1,1,2,4,2.1435850358E-05
57,1,1,2,5,1.8712962717E-05
57,1,1,2,6,1.6228991064E-05
57,1,1,2,7,1.721174856E-05
57,1,1,2,8,1.5069612833E-05
57,1,1,2,9,9.846401778E-06
57,1,1,2,10,8.23116084E-06
57,1,1,2,11,6.846535894E-06
57,1,1,2,12,6.403626131E-06
57,1,1,2,13,6.625651394E-06
57,1,1,2,14,5.916007839E-06
57,1,1,2,15,5.916007839E-06
57,1,1,3,1,3.2352391214E-05
57,1,1,3,2,2.6149341069E-05
57,1,1,3,3,2.878510707E-05
57,1,1,3,4,3.1349471823E-05
57,1,1,3,5,2.6167777256E-05
57,1,1,3,6,2.5561458519E-05
57,1,1,3,7,2.409020408E-05
57,1,1,3,8,1.9914432702E-05
57,1,1,3,9,1.6113274624E-05
57,1,1,3,10,1.3885345352E-05
57,1,1,3,11,1.162975586E-05
57,1,1,3,12,1.0430111595E-05
57,1,1,3,13,1.0191531252E-05
57,1,1,3,14,9.031697873E-06
57,1,1,3,15,9.031697873E-06
57,1,1,4,1,5.0389795576E-05
57,1,1,4,2,4.5536382153E-05
57,1,1,4,3,4.8398521887E-05
57,1,1,4,4,4.6908018485E-05
57,1,1,4,5,4.6271172361E-05
57,1,1,4,6,4.1432957021E-05
57,1,1,4,7,3.9456952172E-05
57,1,1,4,8,3.0184109526E-05
57,1,1,4,9,2.4670426958E-05
57,1,1,4,10,2.3398114346E-05
57,1,1,4,11,2.072836934E-05
57,1,1,4,12,1.9067003217E-05
57,1,1,4,13,1.6195498045E-05
57,1,1,4,14,1.6230125046E-05
57,1,1,4,15,1.6230125046E-05
57,1,1,5,1,9.8045837222E-05
57,1,1,5,2,9.2168646368E-05
57,1,1,5,3,9.0784180955E-05
57,1,1,5,4,8.1253301033E-05
57,1,1,5,5,8.0033523476E-05
57,1,1,5,6,8.1948217183E-05
57,1,1,5,7,7.0840971581E-05
57,1,1,5,8,5.1960929711E-05
57,1,1,5,9,4.4785225476E-05
57,1,1,5,10,4.1261043431E-05
57,1,1,5,11,3.7306922485E-05
57,1,1,5,12,3.5480581155E-05
57,1,1,5,13,3.0215682823E-05
57,1,1,5,14,2.9644161665E-05
57,1,1,5,15,2.9644161665E-05
57,1,1,6,1,0.000193148839992
57,1,1,6,2,0.000183577431212
57,1,1,6,3,0.000187359459095
57,1,1,6,4,0.000154161161151
57,1,1,6,5,0.000146461189927
57,1,1,6,6,0.000148032280238
57,1,1,6,7,0.000138758924544
57,1,1,6,8,0.000104124086462
57,1,1,6,9,7.7007077588E-05
57,1,1,6,10,6.8983769559E-05
57,1,1,6,11,6.5730925374E-05
57,1,1,6,12,6.5145213097E-05
57,1,1,6,13,5.9638895647E-05
57,1,1,6,14,5.5807752865E-05
57,1,1,6,15,5.5807752865E-05
57,1,1,7,1,0.000399685426112
57,1,1,7,2,0.000370574704627
57,1,1,7,3,0.000362731493911
57,1,1,7,4,0.000305837102847
57,1,1,7,5,0.000270264617691
57,1,1,7,6,0.0002562883754
57,1,1,7,7,0.000247429528792
57,1,1,7,8,0.00018425857759
57,1,1,7,9,0.00013958960257
57,1,1,7,10,0.000115861813867
57,1,1,7,11,0.000116575020925
57,1,1,7,12,0.000112249805827
57,1,1,7,13,0.000103714050732
57,1,1,7,14,9.801408882E-05
57,1,1,7,15,9.801408882E-05
57,1,1,8,1,0.000777112949828
57,1,1,8,2,0.000730800157825
57,1,1,8,3,0.00068689808
57,1,1,8,4,0.000581938103958
57,1,1,8,5,0.000532321099172
57,1,1,8,6,0.000495060183557
57,1,1,8,7,0.000449236168664
57,1,1,8,8,0.000328692855446
57,1,1,8,9,0.000250178109802
57,1,1,8,10,0.000204673464211
57,1,1,8,11,0.000195921931641
57,1,1,8,12,0.00018218272011
57,1,1,8,13,0.000160545280894
57,1,1,8,14,0.000160065732659
57,1,1,8,15,0.000160065732659
57,1,1,9,1,0.001428622864755
57,1,1,9,2,0.001342465376318
57,1,1,9,3,0.001283642554113
57,1,1,9,4,0.001057605704641
57,1,1,9,5,0.000947916906867
57,1,1,9,6,0.000881617006145
57,1,1,9,7,0.000798433093103
57,1,1,9,8,0.000566628012643
57,1,1,9,9,0.0004298098983
57,1,1,9,10,0.000376081448522
57,1,1,9,11,0.000326979014114
57,1,1,9,12,0.000311440610574
57,1,1,9,13,0.000262534294887
57,1,1,9,14,0.00024089733125
57,1,1,9,15,0.00024089733125
57,1,1,10,1,0.002507049704111
57,1,1,10,2,0.00234020288612
57,1,1,10,3,0.002359169187693
57,1,1,10,4,0.002061211722105
57,1,1,10,5,0.0017790568221
57,1,1,10,6,0.001642557232131
57,1,1,10,7,0.001513133556291
57,1,1,10,8,0.001082602834608
57,1,1,10,9,0.000792525294379
57,1,1,10,10,0.000678185647985
57,1,1,10,11,0.000566859999508
57,1,1,10,12,0.000551105843781
57,1,1,10,13,0.000473133354577
57,1,1,10,14,0.00039235633812
57,1,1,10,15,0.00039235633812
57,1,1,11,1,0.004324856578332
57,1,1,11,2,0.003968998867108
57,1,1,11,3,0.0042801773871
57,1,1,11,4,0.003902577222366
57,1,1,11,5,0.003410771992289
57,1,1,11,6,0.003125255730435
57,1,1,11,7,0.00290002084863
57,1,1,11,8,0.002082289134548
57,1,1,11,9,0.001483507508287
57,1,1,11,10,0.001190985743951
57,1,1,11,11,0.001048161799443
57,1,1,11,12,0.000975630045011
57,1,1,11,13,0.00085036732032
57,1,1,11,14,0.000682772728505
57,1,1,11,15,0.000682772728505
57,1,1,12,1,0.007410823839261
57,1,1,12,2,0.007032717983397
57,1,1,12,3,0.007406769845183
57,1,1,12,4,0.007128234861299
57,1,1,12,5,0.006556843045104
57,1,1,12,6,0.006173725564937
57,1,1,12,7,0.005449776674488
57,1,1,12,8,0.004030972912283
57,1,1,12,9,0.003007198368215
57,1,1,12,10,0.002393756897093
57,1,1,12,11,0.001988281033012
57,1,1,12,12,0.001883078856286
57,1,1,12,13,0.001651673193602
57,1,1,12,14,0.001247844229669
57,1,1,12,15,0.001247844229669
57,1,1,13,1,0.011687319295146
57,1,1,13,2,0.011602596152066
57,1,1,13,3,0.012756922538377
57,1,1,13,4,0.012583089848952
57,1,1,13,5,0.012177034950772
57,1,1,13,6,0.011460320594919
57,1,1,13,7,0.010279058213034
57,1,1,13,8,0.007547226716514
57,1,1,13,9,0.005725139808417
57,1,1,13,10,0.004592363525648
57,1,1,13,11,0.003875430930797
57,1,1,13,12,0.003593344315553
57,1,1,13,13,0.003212046065139
57,1,1,13,14,0.002382171238965
57,1,1,13,15,0.002382171238965
57,1,1,14,1,0.017732920263873
57,1,1,14,2,0.016541977815249
57,1,1,14,3,0.020687226482436
57,1,1,14,4,0.022194685677252
57,1,1,14,5,0.021300014064506
57,1,1,14,6,0.019990402358581
57,1,1,14,7,0.018467592470174
57,1,1,14,8,0.01406583290298
57,1,1,14,9,0.010359154578685
57,1,1,14,10,0.00840496803339
57,1,1,14,11,0.007343854993458
57,1,1,14,12,0.006982317542359
57,1,1,14,13,0.00615896132927
57,1,1,14,14,0.004471353539025
57,1,1,14,15,0.004471353539025
57,1,1,15,1,0.025069500917223
57,1,1,15,2,0.025732222881997
57,1,1,15,3,0.031060400699869
57,1,1,15,4,0.036075615729033
57,1,1,15,5,0.035544663737897
57,1,1,15,6,0.032127374477812
57,1,1,15,7,0.030076549957235
57,1,1,15,8,0.025161621096279
57,1,1,15,9,0.019940968597269
57,1,1,15,10,0.016743950632136
57,1,1,15,11,0.015148198121186
57,1,1,15,12,0.014731368472622
57,1,1,15,13,0.01381904938556
57,1,1,15,14,0.010080175982904
