Minor,Gender,Race,Age,Calendar Period,Rate
2,1,1,1,1,1.3435541022E-05
2,1,1,1,2,8.384036063E-06
2,1,1,1,3,2.874218142E-06
2,1,1,1,4,8.35397613E-07
2,1,1,1,5,5.0083867E-07
2,1,1,1,6,3.6762915E-07
2,1,1,1,7,3.10714995E-07
2,1,1,1,8,7.0275254E-08
2,1,1,1,9,2.3143185E-08
2,1,1,1,10,2.5551058E-08
2,1,1,1,11,2.784624E-08
2,1,1,1,12,2.5612583E-08
2,1,1,1,13,4.8508395E-08
2,1,1,1,14,4.7028816E-08
2,1,1,1,15,4.7028816E-08
2,1,1,2,1,1.8000671684E-05
2,1,1,2,2,1.056967152E-05
2,1,1,2,3,3.824751513E-06
2,1,1,2,4,1.228536878E-06
2,1,1,2,5,3.8743194E-07
2,1,1,2,6,3.4866973E-07
2,1,1,2,7,2.72769391E-07
2,1,1,2,8,1.70691407E-07
2,1,1,2,9,4.5166981E-08
2,1,1,2,10,2.16609496E-07
2,1,1,2,11,1.27733879E-07
2,1,1,2,12,1.93212857E-07
2,1,1,2,13,9.9633856E-08
2,1,1,2,14,1.44292874E-07
2,1,1,2,15,1.44292874E-07
2,1,1,3,1,1.8818841424E-05
2,1,1,3,2,1.098808329E-05
2,1,1,3,3,4.688628922E-06
2,1,1,3,4,1.18841135E-06
2,1,1,3,5,5.62747898E-07
2,1,1,3,6,3.97141305E-07
2,1,1,3,7,3.47303073E-07
2,1,1,3,8,2.42858935E-07
2,1,1,3,9,2.12016771E-07
2,1,1,3,10,3.87604057E-07
2,1,1,3,11,3.59683171E-07
2,1,1,3,12,2.11778916E-07
2,1,1,3,13,1.06161784E-07
2,1,1,3,14,2.00704397E-07
2,1,1,3,15,2.00704397E-07
2,1,1,4,1,2.2186870194E-05
2,1,1,4,2,1.2588279866E-05
2,1,1,4,3,5.403718463E-06
2,1,1,4,4,1.857743306E-06
2,1,1,4,5,1.164542929E-06
2,1,1,4,6,1.038820523E-06
2,1,1,4,7,5.49539724E-07
2,1,1,4,8,3.61125937E-07
2,1,1,4,9,3.03014456E-07
2,1,1,4,10,5.51084146E-07
2,1,1,4,11,3.89875285E-07
2,1,1,4,12,1.17843036E-07
2,1,1,4,13,1.45905388E-07
2,1,1,4,14,2.3712845E-07
2,1,1,4,15,2.3712845E-07
2,1,1,5,1,2.4341476925E-05
2,1,1,5,2,1.6796108678E-05
2,1,1,5,3,6.162894791E-06
2,1,1,5,4,2.830467988E-06
2,1,1,5,5,1.661073129E-06
2,1,1,5,6,1.24835122E-06
2,1,1,5,7,5.97645992E-07
2,1,1,5,8,4.69091727E-07
2,1,1,5,9,4.28274014E-07
2,1,1,5,10,7.53033518E-07
2,1,1,5,11,8.17437133E-07
2,1,1,5,12,4.27992535E-07
2,1,1,5,13,9.1079677E-08
2,1,1,5,14,1.70508736E-07
2,1,1,5,15,1.70508736E-07
2,1,1,6,1,2.9767416605E-05
2,1,1,6,2,1.943601135E-05
2,1,1,6,3,1.0442008071E-05
2,1,1,6,4,4.155613609E-06
2,1,1,6,5,2.220289315E-06
2,1,1,6,6,1.623754445E-06
2,1,1,6,7,1.680741903E-06
2,1,1,6,8,1.132662945E-06
2,1,1,6,9,4.32421587E-07
2,1,1,6,10,1.56045232E-06
2,1,1,6,11,6.79454435E-07
2,1,1,6,12,3.38006986E-07
2,1,1,6,13,1.93982675E-07
2,1,1,6,14,2.52835783E-07
2,1,1,6,15,2.52835783E-07
2,1,1,7,1,3.2905003614E-05
2,1,1,7,2,2.2117914888E-05
2,1,1,7,3,1.1257346714E-05
2,1,1,7,4,5.330588586E-06
2,1,1,7,5,3.086417873E-06
2,1,1,7,6,3.619012893E-06
2,1,1,7,7,3.477768172E-06
2,1,1,7,8,1.580547618E-06
2,1,1,7,9,7.19740145E-07
2,1,1,7,10,8.28871452E-07
2,1,1,7,11,8.68111858E-07
2,1,1,7,12,6.19309274E-07
2,1,1,7,13,3.69500069E-07
2,1,1,7,14,4.59543618E-07
2,1,1,7,15,4.59543618E-07
2,1,1,8,1,3.7668217995E-05
2,1,1,8,2,2.608639061E-05
2,1,1,8,3,1.3527307348E-05
2,1,1,8,4,6.094605694E-06
2,1,1,8,5,5.08052519E-06
2,1,1,8,6,4.912158853E-06
2,1,1,8,7,5.935952311E-06
2,1,1,8,8,2.901192533E-06
2,1,1,8,9,1.289993476E-06
2,1,1,8,10,1.281017038E-06
2,1,1,8,11,1.36056897E-06
2,1,1,8,12,8.23926026E-07
2,1,1,8,13,4.66324844E-07
2,1,1,8,14,6.10758592E-07
2,1,1,8,15,6.10758592E-07
2,1,1,9,1,4.2589160339E-05
2,1,1,9,2,3.3284782598E-05
2,1,1,9,3,1.6537583259E-05
2,1,1,9,4,9.169672358E-06
2,1,1,9,5,6.166408567E-06
2,1,1,9,6,7.853941739E-06
2,1,1,9,7,8.662926869E-06
2,1,1,9,8,4.294891503E-06
2,1,1,9,9,2.203513698E-06
2,1,1,9,10,1.495004004E-06
2,1,1,9,11,1.757951689E-06
2,1,1,9,12,1.249794036E-06
2,1,1,9,13,5.77915777E-07
2,1,1,9,14,6.12022381E-07
2,1,1,9,15,6.12022381E-07
2,1,1,10,1,4.7659971455E-05
2,1,1,10,2,3.7745207841E-05
2,1,1,10,3,2.1974042989E-05
2,1,1,10,4,1.2439935352E-05
2,1,1,10,5,8.950841055E-06
2,1,1,10,6,1.1591028544E-05
2,1,1,10,7,1.4128528713E-05
2,1,1,10,8,6.901568245E-06
2,1,1,10,9,2.158063313E-06
2,1,1,10,10,2.203242714E-06
2,1,1,10,11,1.996312857E-06
2,1,1,10,12,1.239297002E-06
2,1,1,10,13,5.84992225E-07
2,1,1,10,14,7.03868367E-07
2,1,1,10,15,7.03868367E-07
2,1,1,11,1,5.0154254121E-05
2,1,1,11,2,4.2214227152E-05
2,1,1,11,3,3.0951607162E-05
2,1,1,11,4,1.768705034E-05
2,1,1,11,5,1.0324499004E-05
2,1,1,11,6,1.578994613E-05
2,1,1,11,7,1.9125323923E-05
2,1,1,11,8,1.2014606849E-05
2,1,1,11,9,3.079984446E-06
2,1,1,11,10,2.921846751E-06
2,1,1,11,11,2.540213447E-06
2,1,1,11,12,1.839461696E-06
2,1,1,11,13,1.02299828E-06
2,1,1,11,14,1.029215674E-06
2,1,1,11,15,1.029215674E-06
2,1,1,12,1,5.3755788091E-05
2,1,1,12,2,4.5270784668E-05
2,1,1,12,3,3.0616648817E-05
2,1,1,12,4,1.7995484092E-05
2,1,1,12,5,1.3441783342E-05
2,1,1,12,6,2.3139469069E-05
2,1,1,12,7,2.69077797E-05
2,1,1,12,8,1.4240230214E-05
2,1,1,12,9,5.35128352E-06
2,1,1,12,10,4.758960034E-06
2,1,1,12,11,3.78464399E-06
2,1,1,12,12,2.380777486E-06
2,1,1,12,13,1.629672613E-06
2,1,1,12,14,1.328538503E-06
2,1,1,12,15,1.328538503E-06
2,1,1,13,1,4.8233123149E-05
2,1,1,13,2,4.3747569579E-05
2,1,1,13,3,2.80441865E-05
2,1,1,13,4,1.852396581E-05
2,1,1,13,5,1.4811283421E-05
2,1,1,13,6,3.2288683897E-05
2,1,1,13,7,3.7565917076E-05
2,1,1,13,8,2.1740154883E-05
2,1,1,13,9,7.303047483E-06
2,1,1,13,10,6.507417667E-06
2,1,1,13,11,4.939283211E-06
2,1,1,13,12,3.422594861E-06
2,1,1,13,13,2.302954698E-06
2,1,1,13,14,1.851945109E-06
2,1,1,13,15,1.851945109E-06
2,1,1,14,1,4.9828308979E-05
2,1,1,14,2,4.7719008454E-05
2,1,1,14,3,3.9172859144E-05
2,1,1,14,4,2.6269172607E-05
2,1,1,14,5,1.5728049918E-05
2,1,1,14,6,2.7573334465E-05
2,1,1,14,7,4.2548179202E-05
2,1,1,14,8,3.2781732043E-05
2,1,1,14,9,1.1406115959E-05
2,1,1,14,10,8.176715879E-06
2,1,1,14,11,7.997705111E-06
2,1,1,14,12,5.364823313E-06
2,1,1,14,13,4.109157891E-06
2,1,1,14,14,2.50743228E-06
2,1,1,14,15,2.50743228E-06
2,1,1,15,1,4.1605991263E-05
2,1,1,15,2,3.2481209113E-05
2,1,1,15,3,2.710761724E-05
2,1,1,15,4,1.8016455029E-05
2,1,1,15,5,1.9124428999E-05
2,1,1,15,6,3.5581979304E-05
2,1,1,15,7,4.4219382441E-05
2,1,1,15,8,2.9691672694E-05
2,1,1,15,9,1.6566343142E-05
2,1,1,15,10,1.7462692897E-05
2,1,1,15,11,1.15096956E-05
2,1,1,15,12,4.49991998E-06
2,1,1,15,13,4.416279902E-06
2,1,1,15,14,4.865553632E-06
2,1,1,15,15,4.865553632E-06
2,1,2,1,1,0.000108920829507
2,1,2,1,2,7.0422092416E-05
2,1,2,1,3,2.2759549907E-05
2,1,2,1,4,4.089343987E-06
2,1,2,1,5,2.827869744E-06
2,1,2,1,6,2.180430635E-06
2,1,2,1,7,1.31792937E-07
2,1,2,1,8,7.34398876E-07
2,1,2,1,9,3.4139861E-07
2,1,2,1,10,4.4929246E-07
2,1,2,1,11,1.12113154E-07
2,1,2,1,12,1.00242044E-07
2,1,2,1,13,0
2,1,2,1,14,7.2123096E-08
2,1,2,1,15,7.2123096E-08
2,1,2,2,1,0.000163266423764
2,1,2,2,2,0.000111278326535
2,1,2,2,3,5.4843217777E-05
2,1,2,2,4,1.0172706301E-05
2,1,2,2,5,8.224010708E-06
2,1,2,2,6,3.181030154E-06
2,1,2,2,7,1.996345025E-06
2,1,2,2,8,8.21664234E-07
2,1,2,2,9,9.99968251E-07
2,1,2,2,10,1.542246156E-06
2,1,2,2,11,4.479496E-07
2,1,2,2,12,1.12470176E-07
2,1,2,2,13,2.68321987E-07
2,1,2,2,14,2.39501913E-07
2,1,2,2,15,2.39501913E-07
2,1,2,3,1,0.000128798958439
2,1,2,3,2,9.8206653914E-05
2,1,2,3,3,5.644649829E-05
2,1,2,3,4,1.922133701E-05
2,1,2,3,5,1.2048174161E-05
2,1,2,3,6,8.520673628E-06
2,1,2,3,7,6.119807471E-06
2,1,2,3,8,2.769921971E-06
2,1,2,3,9,3.334201615E-06
2,1,2,3,10,3.380873649E-06
2,1,2,3,11,2.047666258E-06
2,1,2,3,12,7.97097109E-07
2,1,2,3,13,2.96413632E-07
2,1,2,3,14,4.35082551E-07
2,1,2,3,15,4.35082551E-07
2,1,2,4,1,0.000142238823318
2,1,2,4,2,0.000113337701165
2,1,2,4,3,5.5090899985E-05
2,1,2,4,4,2.8700314691E-05
2,1,2,4,5,1.2859920959E-05
2,1,2,4,6,6.676955248E-06
2,1,2,4,7,6.026913786E-06
2,1,2,4,8,4.396711936E-06
2,1,2,4,9,6.089686011E-06
2,1,2,4,10,6.190218449E-06
2,1,2,4,11,3.916317033E-06
2,1,2,4,12,1.101297692E-06
2,1,2,4,13,1.059770273E-06
2,1,2,4,14,9.3085324E-08
2,1,2,4,15,9.3085324E-08
2,1,2,5,1,0.000119500464395
2,1,2,5,2,0.000105851914278
2,1,2,5,3,5.5095458112E-05
2,1,2,5,4,2.2996205626E-05
2,1,2,5,5,1.8048341057E-05
2,1,2,5,6,1.9385942332E-05
2,1,2,5,7,8.907607236E-06
2,1,2,5,8,5.220444129E-06
2,1,2,5,9,5.442097892E-06
2,1,2,5,10,8.068261757E-06
2,1,2,5,11,6.475563423E-06
2,1,2,5,12,2.255561086E-06
2,1,2,5,13,1.25687936E-06
2,1,2,5,14,7.37902821E-07
2,1,2,5,15,7.37902821E-07
2,1,2,6,1,0.000125816444255
2,1,2,6,2,0.000124601181823
2,1,2,6,3,6.9782845248E-05
2,1,2,6,4,3.090100937E-05
2,1,2,6,5,2.3710977136E-05
2,1,2,6,6,2.2100869026E-05
2,1,2,6,7,1.8611768842E-05
2,1,2,6,8,7.556237296E-06
2,1,2,6,9,8.475298621E-06
2,1,2,6,10,7.682955532E-06
2,1,2,6,11,6.456586937E-06
2,1,2,6,12,2.864461556E-06
2,1,2,6,13,1.182786552E-06
2,1,2,6,14,7.48228849E-07
2,1,2,6,15,7.48228849E-07
2,1,2,7,1,0.000122220141879
2,1,2,7,2,0.000116421568627
2,1,2,7,3,6.8904099794E-05
2,1,2,7,4,3.1479982969E-05
2,1,2,7,5,2.0950529185E-05
2,1,2,7,6,2.3606029258E-05
2,1,2,7,7,2.5129264619E-05
2,1,2,7,8,1.3303104152E-05
2,1,2,7,9,9.270015267E-06
2,1,2,7,10,1.2470315758E-05
2,1,2,7,11,6.832408848E-06
2,1,2,7,12,4.950150485E-06
2,1,2,7,13,1.685897133E-06
2,1,2,7,14,1.252455415E-06
2,1,2,7,15,1.252455415E-06
2,1,2,8,1,0.000129289412774
2,1,2,8,2,0.000130929000774
2,1,2,8,3,9.1011337634E-05
2,1,2,8,4,4.684355686E-05
2,1,2,8,5,2.6736757219E-05
2,1,2,8,6,3.9432017994E-05
2,1,2,8,7,3.2648668042E-05
2,1,2,8,8,2.0584286509E-05
2,1,2,8,9,8.878868452E-06
2,1,2,8,10,1.1332119731E-05
2,1,2,8,11,7.927340554E-06
2,1,2,8,12,4.736401739E-06
2,1,2,8,13,2.322214343E-06
2,1,2,8,14,1.879918128E-06
2,1,2,8,15,1.879918128E-06
2,1,2,9,1,0.000116928119079
2,1,2,9,2,0.000134471912844
2,1,2,9,3,0.000104092893025
2,1,2,9,4,6.2039593557E-05
2,1,2,9,5,3.8414502204E-05
2,1,2,9,6,3.6410804906E-05
2,1,2,9,7,3.0358964395E-05
2,1,2,9,8,1.9271336983E-05
