Minor,Gender,Race,Age,Calendar Period,Rate
87,1,1,1,1,0.000298621787456
87,1,1,1,2,0.000265603006532
87,1,1,1,3,0.000232163958357
87,1,1,1,4,0.000219491642392
87,1,1,1,5,0.000204467387029
87,1,1,1,6,0.000233470769741
87,1,1,1,7,0.000258610480154
87,1,1,1,8,0.00022558356571
87,1,1,1,9,0.000159178824264
87,1,1,1,10,0.000120447686215
87,1,1,1,11,0.000104729708939
87,1,1,1,12,8.7185230965E-05
87,1,1,1,13,6.8906174748E-05
87,1,1,1,14,6.0855287678E-05
87,1,1,1,15,6.0855287678E-05
87,1,1,2,1,0.000274569197353
87,1,1,2,2,0.000234082462114
87,1,1,2,3,0.000188104534528
87,1,1,2,4,0.000188389775777
87,1,1,2,5,0.000185928588157
87,1,1,2,6,0.000211579131546
87,1,1,2,7,0.000254575672435
87,1,1,2,8,0.00025018483441
87,1,1,2,9,0.000200360726091
87,1,1,2,10,0.000145272768516
87,1,1,2,11,0.000114475102023
87,1,1,2,12,0.000105162998093
87,1,1,2,13,0.000101651441119
87,1,1,2,14,9.7109104291E-05
87,1,1,2,15,9.7109104291E-05
87,1,1,3,1,0.000265906225313
87,1,1,3,2,0.000212908470989
87,1,1,3,3,0.000190350647953
87,1,1,3,4,0.000178425621329
87,1,1,3,5,0.000156162541691
87,1,1,3,6,0.000176402946788
87,1,1,3,7,0.000214349142201
87,1,1,3,8,0.000205134847424
87,1,1,3,9,0.000180897420821
87,1,1,3,10,0.000143641503639
87,1,1,3,11,0.00011318030445
87,1,1,3,12,0.00010141562822
87,1,1,3,13,9.5067877456E-05
87,1,1,3,14,9.5384764755E-05
87,1,1,3,15,9.5384764755E-05
87,1,1,4,1,0.000284333274951
87,1,1,4,2,0.00023792253715
87,1,1,4,3,0.000192575995664
87,1,1,4,4,0.000175518039462
87,1,1,4,5,0.000161444467994
87,1,1,4,6,0.000172723889296
87,1,1,4,7,0.000188089129481
87,1,1,4,8,0.000169789377812
87,1,1,4,9,0.000151532479198
87,1,1,4,10,0.000138643586283
87,1,1,4,11,0.000120124907378
87,1,1,4,12,0.000112940765656
87,1,1,4,13,9.5981427606E-05
87,1,1,4,14,9.0820196483E-05
87,1,1,4,15,9.0820196483E-05
87,1,1,5,1,0.000302477980482
87,1,1,5,2,0.000270333369165
87,1,1,5,3,0.000197923736547
87,1,1,5,4,0.000179187493407
87,1,1,5,5,0.000174412678518
87,1,1,5,6,0.000189386960891
87,1,1,5,7,0.000191087345165
87,1,1,5,8,0.000170244212761
87,1,1,5,9,0.00014438952476
87,1,1,5,10,0.000130300765222
87,1,1,5,11,0.000119799953152
87,1,1,5,12,0.000123668443
87,1,1,5,13,0.00011940545646
87,1,1,5,14,9.7141262712E-05
87,1,1,5,15,9.7141262712E-05
87,1,1,6,1,0.000321090554033
87,1,1,6,2,0.000277631416206
87,1,1,6,3,0.000232409265343
87,1,1,6,4,0.000200921900689
87,1,1,6,5,0.000194294791318
87,1,1,6,6,0.00020683538764
87,1,1,6,7,0.000210405434034
87,1,1,6,8,0.00017669541945
87,1,1,6,9,0.000139924418472
87,1,1,6,10,0.000117917198926
87,1,1,6,11,0.000115633078902
87,1,1,6,12,0.000129141202441
87,1,1,6,13,0.000133826491895
87,1,1,6,14,0.000117545654098
87,1,1,6,15,0.000117545654098
87,1,1,7,1,0.000347222222222
87,1,1,7,2,0.000294457195732
87,1,1,7,3,0.000237817337068
87,1,1,7,4,0.000227568460684
87,1,1,7,5,0.000217023909383
87,1,1,7,6,0.000231733567493
87,1,1,7,7,0.000230900360965
87,1,1,7,8,0.000200646360789
87,1,1,7,9,0.000147746657547
87,1,1,7,10,0.000119033148119
87,1,1,7,11,0.000108513982244
87,1,1,7,12,0.000117901002948
87,1,1,7,13,0.000136622650664
87,1,1,7,14,0.000136003027911
87,1,1,7,15,0.000136003027911
87,1,1,8,1,0.000389920030316
87,1,1,8,2,0.000326978474371
87,1,1,8,3,0.000261562362694
87,1,1,8,4,0.000242768460125
87,1,1,8,5,0.00024980760913
87,1,1,8,6,0.000263718858782
87,1,1,8,7,0.000256606271787
87,1,1,8,8,0.000217262545053
87,1,1,8,9,0.000169231019167
87,1,1,8,10,0.00012698597931
87,1,1,8,11,0.000111838769312
87,1,1,8,12,0.000113796859961
87,1,1,8,13,0.000124690081804
87,1,1,8,14,0.000137702571888
87,1,1,8,15,0.000137702571888
87,1,1,9,1,0.00043124096652
87,1,1,9,2,0.000374266108083
87,1,1,9,3,0.000279683142234
87,1,1,9,4,0.000243051556483
87,1,1,9,5,0.000254221852353
87,1,1,9,6,0.000294498723373
87,1,1,9,7,0.000278747719778
87,1,1,9,8,0.000226013349884
87,1,1,9,9,0.000187506542981
87,1,1,9,10,0.000152094672096
87,1,1,9,11,0.000121929726107
87,1,1,9,12,0.00011808537843
87,1,1,9,13,0.000119018543616
87,1,1,9,14,0.000127992506717
87,1,1,9,15,0.000127992506717
87,1,1,10,1,0.000460037029432
87,1,1,10,2,0.000400939653067
87,1,1,10,3,0.000301072029254
87,1,1,10,4,0.000278285961204
87,1,1,10,5,0.000259080551088
87,1,1,10,6,0.000303479392664
87,1,1,10,7,0.000302647957166
87,1,1,10,8,0.000257393739434
87,1,1,10,9,0.000204406127248
87,1,1,10,10,0.000173367661079
87,1,1,10,11,0.000140252584645
87,1,1,10,12,0.000129697197797
87,1,1,10,13,0.000128949000461
87,1,1,10,14,0.000137589506918
87,1,1,10,15,0.000137589506918
87,1,1,11,1,0.000476194602839
87,1,1,11,2,0.000420227794096
87,1,1,11,3,0.000319489367263
87,1,1,11,4,0.000281271057177
87,1,1,11,5,0.000265339624395
87,1,1,11,6,0.000295250362574
87,1,1,11,7,0.000302288247015
87,1,1,11,8,0.000273301965905
87,1,1,11,9,0.000228523845955
87,1,1,11,10,0.000186639368758
87,1,1,11,11,0.000153309352722
87,1,1,11,12,0.000149354070471
87,1,1,11,13,0.000154114690895
87,1,1,11,14,0.000154113860072
87,1,1,11,15,0.000154113860072
87,1,1,12,1,0.000557119898468
