Minor,Gender,Race,Age,Calendar Period,Rate
46,1,1,1,1,2.927296647E-06
46,1,1,1,2,2.197757026E-06
46,1,1,1,3,2.307470903E-06
46,1,1,1,4,2.034011579E-06
46,1,1,1,5,2.472890933E-06
46,1,1,1,6,1.129146676E-06
46,1,1,1,7,3.10714995E-07
46,1,1,1,8,4.68501694E-07
46,1,1,1,9,3.9343414E-07
46,1,1,1,10,3.83265866E-07
46,1,1,1,11,4.45539841E-07
46,1,1,1,12,5.12251651E-07
46,1,1,1,13,4.12321355E-07
46,1,1,1,14,5.17316974E-07
46,1,1,1,15,5.17316974E-07
46,1,1,2,1,3.93027766E-06
46,1,1,2,2,1.947044754E-06
46,1,1,2,3,1.505487298E-06
46,1,1,2,4,2.118167031E-06
46,1,1,2,5,1.627214149E-06
46,1,1,2,6,1.141100934E-06
46,1,1,2,7,6.54646538E-07
46,1,1,2,8,6.8276563E-07
46,1,1,2,9,4.74253297E-07
46,1,1,2,10,4.57286713E-07
46,1,1,2,11,6.13122617E-07
46,1,1,2,12,9.93666124E-07
46,1,1,2,13,5.23077742E-07
46,1,1,2,14,5.53122684E-07
46,1,1,2,15,5.53122684E-07
46,1,1,3,1,3.603607932E-06
46,1,1,3,2,1.608012189E-06
46,1,1,3,3,1.844706461E-06
46,1,1,3,4,1.557228666E-06
46,1,1,3,5,1.567654859E-06
46,1,1,3,6,1.299735179E-06
46,1,1,3,7,6.31460133E-07
46,1,1,3,8,6.47623828E-07
46,1,1,3,9,8.48067085E-07
46,1,1,3,10,7.98008354E-07
46,1,1,3,11,1.198943903E-06
46,1,1,3,12,8.20643298E-07
46,1,1,3,13,5.04268473E-07
46,1,1,3,14,6.7737734E-07
46,1,1,3,15,6.7737734E-07
46,1,1,4,1,4.096037574E-06
46,1,1,4,2,2.711944537E-06
46,1,1,4,3,1.957869008E-06
46,1,1,4,4,1.973852263E-06
46,1,1,4,5,2.290267759E-06
46,1,1,4,6,1.877867869E-06
46,1,1,4,7,1.355531319E-06
46,1,1,4,8,8.42627185E-07
46,1,1,4,9,7.32284935E-07
46,1,1,4,10,1.056244612E-06
46,1,1,4,11,1.212945332E-06
46,1,1,4,12,1.131293145E-06
46,1,1,4,13,7.78162068E-07
46,1,1,4,14,6.32342534E-07
46,1,1,4,15,6.32342534E-07
46,1,1,5,1,4.578192122E-06
46,1,1,5,2,3.359221736E-06
46,1,1,5,3,2.330838414E-06
46,1,1,5,4,2.641770122E-06
46,1,1,5,5,2.755871327E-06
46,1,1,5,6,2.01346971E-06
46,1,1,5,7,1.434350381E-06
46,1,1,5,8,1.299023243E-06
46,1,1,5,9,8.87139029E-07
46,1,1,5,10,2.051367169E-06
46,1,1,5,11,1.589461092E-06
46,1,1,5,12,1.71197014E-06
46,1,1,5,13,1.297885396E-06
46,1,1,5,14,1.193561152E-06
46,1,1,5,15,1.193561152E-06
46,1,1,6,1,4.848113454E-06
46,1,1,6,2,3.941568735E-06
46,1,1,6,3,3.622737494E-06
46,1,1,6,4,4.034576319E-06
46,1,1,6,5,4.051054189E-06
46,1,1,6,6,3.518134631E-06
46,1,1,6,7,2.657917428E-06
46,1,1,6,8,2.06306465E-06
