Minor,Gender,Race,Age,Calendar Period,Rate
3,1,1,1,1,0
3,1,1,1,2,0
3,1,1,1,3,0
3,1,1,1,4,0
3,1,1,1,5,3.1302417E-08
3,1,1,1,6,0
3,1,1,1,7,0
3,1,1,1,8,0
3,1,1,1,9,0
3,1,1,1,10,0
3,1,1,1,11,0
3,1,1,1,12,0
3,1,1,1,13,0
3,1,1,1,14,0
3,1,1,1,15,0
3,1,1,2,1,0
3,1,1,2,2,7.9471214E-08
3,1,1,2,3,8.1377692E-08
3,1,1,2,4,4.2363341E-08
3,1,1,2,5,0
3,1,1,2,6,0
3,1,1,2,7,2.7276939E-08
3,1,1,2,8,4.8768974E-08
3,1,1,2,9,0
3,1,1,2,10,0
3,1,1,2,11,2.5546776E-08
3,1,1,2,12,0
3,1,1,2,13,0
3,1,1,2,14,0
3,1,1,2,15,0
3,1,1,3,1,1.20120264E-07
3,1,1,3,2,1.91430022E-07
3,1,1,3,3,2.69019692E-07
3,1,1,3,4,1.63918807E-07
3,1,1,3,5,1.20588835E-07
3,1,1,3,6,3.6103755E-08
3,1,1,3,7,1.26292027E-07
3,1,1,3,8,2.6984326E-08
3,1,1,3,9,2.3557419E-08
3,1,1,3,10,2.2800239E-08
3,1,1,3,11,7.1936634E-08
3,1,1,3,12,0
3,1,1,3,13,5.3080892E-08
3,1,1,3,14,0
3,1,1,3,15,0
3,1,1,4,1,8.53341161E-07
3,1,1,4,2,3.64291057E-07
3,1,1,4,3,3.91573802E-07
3,1,1,4,4,4.64435827E-07
3,1,1,4,5,1.94090488E-07
3,1,1,4,6,2.39727813E-07
3,1,1,4,7,7.3271963E-08
3,1,1,4,8,3.0093828E-08
3,1,1,4,9,7.5753614E-08
3,1,1,4,10,9.1847358E-08
3,1,1,4,11,6.4979214E-08
3,1,1,4,12,4.7137214E-08
3,1,1,4,13,4.8635129E-08
3,1,1,4,14,2.6347606E-08
3,1,1,4,15,2.6347606E-08
3,1,1,5,1,9.97229967E-07
3,1,1,5,2,9.65776249E-07
3,1,1,5,3,7.11103245E-07
3,1,1,5,4,3.77395732E-07
3,1,1,5,5,3.7751662E-07
3,1,1,5,6,3.62424548E-07
3,1,1,5,7,2.39058397E-07
3,1,1,5,8,1.44335916E-07
3,1,1,5,9,1.22364004E-07
3,1,1,5,10,1.03866692E-07
3,1,1,5,11,2.2706587E-08
3,1,1,5,12,8.5598507E-08
3,1,1,5,13,6.8309758E-08
3,1,1,5,14,4.8716782E-08
3,1,1,5,15,4.8716782E-08
3,1,1,6,1,2.714943534E-06
3,1,1,6,2,2.084047837E-06
3,1,1,6,3,1.619576762E-06
3,1,1,6,4,9.68298317E-07
3,1,1,6,5,5.45334218E-07
3,1,1,6,6,5.41251482E-07
3,1,1,6,7,7.42653399E-07
3,1,1,6,8,5.25879225E-07
3,1,1,6,9,2.88281058E-07
3,1,1,6,10,8.832749E-08
3,1,1,6,11,2.7681477E-07
3,1,1,6,12,4.5067598E-08
3,1,1,6,13,1.72429044E-07
3,1,1,6,14,6.8955214E-08
3,1,1,6,15,6.8955214E-08
3,1,1,7,1,5.59539063E-06
3,1,1,7,2,3.536873777E-06
3,1,1,7,3,2.307991586E-06
3,1,1,7,4,1.863539099E-06
3,1,1,7,5,7.30993707E-07
3,1,1,7,6,1.284165865E-06
3,1,1,7,7,9.76901172E-07
3,1,1,7,8,6.23900376E-07
3,1,1,7,9,5.19812327E-07
3,1,1,7,10,3.24341003E-07
3,1,1,7,11,2.17027964E-07
3,1,1,7,12,1.54827318E-07
3,1,1,7,13,3.00218806E-07
3,1,1,7,14,1.31298177E-07
3,1,1,7,15,1.31298177E-07
3,1,1,8,1,9.203998967E-06
3,1,1,8,2,5.827231305E-06
3,1,1,8,3,4.18210647E-06
3,1,1,8,4,3.047302847E-06
3,1,1,8,5,1.723749618E-06
3,1,1,8,6,1.452290444E-06
3,1,1,8,7,1.772541315E-06
3,1,1,8,8,8.580992E-07
3,1,1,8,9,8.46558219E-07
3,1,1,8,10,5.37200693E-07
3,1,1,8,11,5.05354189E-07
3,1,1,8,12,3.16894625E-07
3,1,1,8,13,2.59069358E-07
3,1,1,8,14,4.22832872E-07
3,1,1,8,15,4.22832872E-07
3,1,1,9,1,1.5910926246E-05
3,1,1,9,2,1.3013599211E-05
3,1,1,9,3,7.162404017E-06
3,1,1,9,4,5.689615981E-06
3,1,1,9,5,2.642746529E-06
3,1,1,9,6,2.216449816E-06
3,1,1,9,7,2.030373485E-06
3,1,1,9,8,1.658423452E-06
3,1,1,9,9,1.787756396E-06
3,1,1,9,10,1.09926765E-06
3,1,1,9,11,5.40908212E-07
3,1,1,9,12,6.45054986E-07
3,1,1,9,13,8.02660801E-07
3,1,1,9,14,3.19316025E-07
3,1,1,9,15,3.19316025E-07
3,1,1,10,1,2.6111580106E-05
3,1,1,10,2,1.9135244532E-05
3,1,1,10,3,1.2438137541E-05
3,1,1,10,4,8.359109998E-06
3,1,1,10,5,4.876665127E-06
3,1,1,10,6,3.825610406E-06
3,1,1,10,7,4.461640646E-06
3,1,1,10,8,3.028745777E-06
3,1,1,10,9,2.204977733E-06
3,1,1,10,10,1.698332926E-06
3,1,1,10,11,1.392776412E-06
3,1,1,10,12,1.191631733E-06
3,1,1,10,13,5.84992225E-07
3,1,1,10,14,5.02763119E-07
3,1,1,10,15,5.02763119E-07
3,1,1,11,1,4.5279650588E-05
3,1,1,11,2,3.1876049074E-05
3,1,1,11,3,2.1666125014E-05
3,1,1,11,4,1.2991373259E-05
3,1,1,11,5,7.153402881E-06
3,1,1,11,6,6.993720432E-06
3,1,1,11,7,7.16354889E-06
3,1,1,11,8,4.186908447E-06
3,1,1,11,9,3.244983613E-06
3,1,1,11,10,2.921846751E-06
3,1,1,11,11,2.241364806E-06
3,1,1,11,12,1.839461696E-06
3,1,1,11,13,1.125298108E-06
3,1,1,11,14,5.81730598E-07
3,1,1,11,15,5.81730598E-07
3,1,1,12,1,7.4431091203E-05
3,1,1,12,2,5.7361739579E-05
3,1,1,12,3,3.4797235403E-05
3,1,1,12,4,2.2893663194E-05
3,1,1,12,5,1.3932359376E-05
3,1,1,12,6,1.0657597787E-05
3,1,1,12,7,8.697464146E-06
3,1,1,12,8,8.8898547E-06
3,1,1,12,9,6.02019396E-06
3,1,1,12,10,3.399257167E-06
3,1,1,12,11,2.991089605E-06
3,1,1,12,12,2.496912974E-06
3,1,1,12,13,1.629672613E-06
3,1,1,12,14,1.559588678E-06
3,1,1,12,15,1.559588678E-06
3,1,1,13,1,0.000125460314708
3,1,1,13,2,0.00010184619373
3,1,1,13,3,5.3701633723E-05
3,1,1,13,4,3.8591595437E-05
3,1,1,13,5,2.2988346143E-05
3,1,1,13,6,1.5711904218E-05
3,1,1,13,7,1.8042411786E-05
3,1,1,13,8,1.3948885503E-05
3,1,1,13,9,8.651302403E-06
3,1,1,13,10,6.01443148E-06
3,1,1,13,11,5.025937303E-06
3,1,1,13,12,3.650767852E-06
