Minor,Gender,Race,Age,Calendar Period,Rate
31,1,1,1,1,0
31,1,1,1,2,0
31,1,1,1,3,2.42891674E-07
31,1,1,1,4,1.08964906E-07
31,1,1,1,5,1.87814501E-07
31,1,1,1,6,1.5755535E-07
31,1,1,1,7,7.170346E-08
31,1,1,1,8,7.0275254E-08
31,1,1,1,9,9.2572739E-08
31,1,1,1,10,5.1102115E-08
31,1,1,1,11,0
31,1,1,1,12,2.5612583E-08
31,1,1,1,13,7.2762592E-08
31,1,1,1,14,4.7028816E-08
31,1,1,1,15,4.7028816E-08
31,1,1,2,1,0
31,1,1,2,2,0
31,1,1,2,3,1.62755384E-07
31,1,1,2,4,8.4726681E-08
31,1,1,2,5,3.09945552E-07
31,1,1,2,6,1.58486241E-07
31,1,1,2,7,3.27323269E-07
31,1,1,2,8,7.315346E-08
31,1,1,2,9,1.12917452E-07
31,1,1,2,10,1.20338609E-07
31,1,1,2,11,2.04374206E-07
31,1,1,2,12,5.5203674E-08
31,1,1,2,13,4.9816928E-08
31,1,1,2,14,1.44292874E-07
31,1,1,2,15,1.44292874E-07
31,1,1,3,1,0
31,1,1,3,2,0
31,1,1,3,3,5.38039384E-07
31,1,1,3,4,4.09797017E-07
31,1,1,3,5,5.62747898E-07
31,1,1,3,6,4.69348815E-07
31,1,1,3,7,4.735951E-07
31,1,1,3,8,1.88890283E-07
31,1,1,3,9,2.82689028E-07
31,1,1,3,10,2.05202148E-07
31,1,1,3,11,1.43873268E-07
31,1,1,3,12,3.17668373E-07
31,1,1,3,13,2.38864014E-07
31,1,1,3,14,2.00704397E-07
31,1,1,3,15,2.00704397E-07
31,1,1,4,1,0
31,1,1,4,2,0
31,1,1,4,3,3.91573802E-07
31,1,1,4,4,4.64435827E-07
31,1,1,4,5,5.43453367E-07
31,1,1,4,6,8.79001981E-07
31,1,1,4,7,5.86175705E-07
31,1,1,4,8,3.91219765E-07
31,1,1,4,9,4.04019275E-07
31,1,1,4,10,5.74045985E-07
31,1,1,4,11,1.94937643E-07
31,1,1,4,12,4.00666322E-07
31,1,1,4,13,2.18858082E-07
31,1,1,4,14,2.3712845E-07
31,1,1,4,15,2.3712845E-07
31,1,1,5,1,0
31,1,1,5,2,0
31,1,1,5,3,1.343195018E-06
31,1,1,5,4,1.094447622E-06
31,1,1,5,5,8.68288226E-07
31,1,1,5,6,1.047004249E-06
31,1,1,5,7,9.96076653E-07
31,1,1,5,8,6.855956E-07
31,1,1,5,9,7.64775025E-07
31,1,1,5,10,5.71266806E-07
31,1,1,5,11,6.1307785E-07
31,1,1,5,12,4.49392162E-07
31,1,1,5,13,7.74177254E-07
31,1,1,5,14,7.30751726E-07
31,1,1,5,15,7.30751726E-07
31,1,1,6,1,0
31,1,1,6,2,0
31,1,1,6,3,2.599846907E-06
31,1,1,6,4,2.097979686E-06
31,1,1,6,5,2.220289315E-06
31,1,1,6,6,1.623754445E-06
31,1,1,6,7,1.798002966E-06
31,1,1,6,8,1.496733178E-06
31,1,1,6,9,1.76572148E-06
31,1,1,6,10,1.413239837E-06
31,1,1,6,11,1.031764143E-06
31,1,1,6,12,9.01351963E-07
31,1,1,6,13,1.077681526E-06
31,1,1,6,14,1.241193845E-06
31,1,1,6,15,1.241193845E-06
31,1,1,7,1,0
31,1,1,7,2,0
31,1,1,7,3,4.380473826E-06
31,1,1,7,4,4.030445028E-06
31,1,1,7,5,3.492525488E-06
31,1,1,7,6,3.307699956E-06
31,1,1,7,7,2.657171187E-06
31,1,1,7,8,3.369062028E-06
31,1,1,7,9,1.919307053E-06
31,1,1,7,10,1.837932351E-06
31,1,1,7,11,2.232287635E-06
31,1,1,7,12,1.986950586E-06
31,1,1,7,13,2.240094171E-06
31,1,1,7,14,2.253952031E-06
31,1,1,7,15,2.253952031E-06
31,1,1,8,1,0
31,1,1,8,2,0
31,1,1,8,3,7.176701227E-06
31,1,1,8,4,6.868523877E-06
31,1,1,8,5,4.762992366E-06
31,1,1,8,6,4.784015579E-06
31,1,1,8,7,4.740517471E-06
31,1,1,8,8,4.372219733E-06
31,1,1,8,9,4.474664871E-06
31,1,1,8,10,3.925697375E-06
31,1,1,8,11,4.120580308E-06
31,1,1,8,12,3.961182817E-06
31,1,1,8,13,4.041481978E-06
31,1,1,8,14,4.463235868E-06
31,1,1,8,15,4.463235868E-06
31,1,1,9,1,0
31,1,1,9,2,0
31,1,1,9,3,1.1995570956E-05
31,1,1,9,4,1.0440169131E-05
31,1,1,9,5,1.0311893318E-05
31,1,1,9,6,8.335778656E-06
31,1,1,9,7,7.58006101E-06
31,1,1,9,8,7.484167371E-06
31,1,1,9,9,6.527389634E-06
31,1,1,9,10,6.023986724E-06
31,1,1,9,11,7.527639283E-06
31,1,1,9,12,6.571497673E-06
31,1,1,9,13,7.19184078E-06
31,1,1,9,14,6.785465533E-06
31,1,1,9,15,6.785465533E-06
31,1,1,10,1,0
31,1,1,10,2,0
31,1,1,10,3,1.5547671926E-05
31,1,1,10,4,1.6915679288E-05
31,1,1,10,5,1.3950966058E-05
31,1,1,10,6,1.3132692439E-05
31,1,1,10,7,1.189770839E-05
31,1,1,10,8,9.48344989E-06
31,1,1,10,9,9.382883968E-06
31,1,1,10,10,9.776889545E-06
31,1,1,10,11,1.0399397206E-05
31,1,1,10,12,1.105834248E-05
31,1,1,10,13,1.1783414819E-05
31,1,1,10,14,9.921192216E-06
31,1,1,10,15,9.921192216E-06
31,1,1,11,1,0
31,1,1,11,2,0
31,1,1,11,3,2.1924055073E-05
31,1,1,11,4,2.1600114575E-05
31,1,1,11,5,1.9690294528E-05
31,1,1,11,6,1.6727248869E-05
31,1,1,11,7,1.5678710777E-05
31,1,1,11,8,1.5594716971E-05
31,1,1,11,9,1.3529931674E-05
31,1,1,11,10,1.3430242959E-05
31,1,1,11,11,1.275087534E-05
31,1,1,11,12,1.7117213003E-05
31,1,1,11,13,1.5651873685E-05
31,1,1,11,14,1.8212642581E-05
31,1,1,11,15,1.8212642581E-05
31,1,1,12,1,0
31,1,1,12,2,0
31,1,1,12,3,2.6313103803E-05
31,1,1,12,4,2.8111288759E-05
31,1,1,12,5,2.7079797098E-05
31,1,1,12,6,2.5635843326E-05
31,1,1,12,7,2.0747075931E-05
31,1,1,12,8,1.8685157564E-05
31,1,1,12,9,1.8060581881E-05
31,1,1,12,10,1.8899869849E-05
31,1,1,12,11,1.6176300926E-05
31,1,1,12,12,2.0033371532E-05
31,1,1,12,13,2.3164632147E-05
31,1,1,12,14,2.5011181384E-05
31,1,1,12,15,2.5011181384E-05
31,1,1,13,1,0
31,1,1,13,2,0
31,1,1,13,3,3.1425400475E-05
31,1,1,13,4,3.1216312753E-05
31,1,1,13,5,2.9313998437E-05
31,1,1,13,6,2.839674432E-05
31,1,1,13,7,2.3428206349E-05
31,1,1,13,8,3.0034086804E-05
31,1,1,13,9,2.1572078719E-05
31,1,1,13,10,2.2677364598E-05
31,1,1,13,11,2.1316906491E-05
31,1,1,13,12,2.6315951597E-05
31,1,1,13,13,2.8714966392E-05
31,1,1,13,14,3.0414636976E-05
31,1,1,13,15,3.0414636976E-05
31,1,1,14,1,0
31,1,1,14,2,0
31,1,1,14,3,2.8093666659E-05
31,1,1,14,4,3.5255994815E-05
31,1,1,14,5,3.085117484E-05
31,1,1,14,6,2.9694360193E-05
31,1,1,14,7,3.6778934565E-05
31,1,1,14,8,3.053640793E-05
31,1,1,14,9,2.6214055977E-05
31,1,1,14,10,3.0097273344E-05
31,1,1,14,11,3.0180019288E-05
31,1,1,14,12,2.9761996E-05
31,1,1,14,13,3.5649721166E-05
31,1,1,14,14,4.1121889392E-05
31,1,1,14,15,4.1121889392E-05
31,1,1,15,1,0
31,1,1,15,2,0
31,1,1,15,3,3.5322046707E-05
31,1,1,15,4,3.670018617E-05
31,1,1,15,5,2.5681376085E-05
31,1,1,15,6,2.9276312085E-05
31,1,1,15,7,2.4049137819E-05
31,1,1,15,8,3.4525200807E-05
31,1,1,15,9,2.6383435375E-05
31,1,1,15,10,3.4093828989E-05
31,1,1,15,11,2.9973165624E-05
31,1,1,15,12,3.5412413753E-05
31,1,1,15,13,4.0086232961E-05
31,1,1,15,14,4.7960457229E-05
31,1,1,15,15,4.7960457229E-05
31,1,2,1,1,0
31,1,2,1,2,0
31,1,2,1,3,3.03460665E-07
31,1,2,1,4,2.72622932E-07
31,1,2,1,5,0
31,1,2,1,6,1.67725433E-07
31,1,2,1,7,1.31792937E-07
31,1,2,1,8,1.04914125E-07
31,1,2,1,9,0
31,1,2,1,10,1.12323115E-07
31,1,2,1,11,0
31,1,2,1,12,0
31,1,2,1,13,0
31,1,2,1,14,7.2123096E-08
31,1,2,1,15,7.2123096E-08
31,1,2,2,1,0
31,1,2,2,2,0
31,1,2,2,3,0
31,1,2,2,4,3.28151816E-07
31,1,2,2,5,0
31,1,2,2,6,2.2721644E-07
31,1,2,2,7,0
31,1,2,2,8,0
31,1,2,2,9,0
31,1,2,2,10,0
31,1,2,2,11,0
31,1,2,2,12,3.37410527E-07
31,1,2,2,13,8.9440662E-08
31,1,2,2,14,7.9833971E-08
31,1,2,2,15,7.9833971E-08
31,1,2,3,1,0
31,1,2,3,2,0
31,1,2,3,3,3.24405163E-07
31,1,2,3,4,3.31402362E-07
31,1,2,3,5,3.08927543E-07
