Minor,Gender,Race,Age,Calendar Period,Rate
36,1,1,1,1,0
36,1,1,1,2,0
36,1,1,1,3,8.177353023E-06
36,1,1,1,4,8.245011223E-06
36,1,1,1,5,9.51593473E-06
36,1,1,1,6,9.348284111E-06
36,1,1,1,7,4.971439914E-06
36,1,1,1,8,3.771438638E-06
36,1,1,1,9,3.147473117E-06
36,1,1,1,10,2.222942024E-06
36,1,1,1,11,1.977083046E-06
36,1,1,1,12,1.383079457E-06
36,1,1,1,13,1.042930487E-06
36,1,1,1,14,7.28946645E-07
36,1,1,1,15,7.28946645E-07
36,1,1,2,1,0
36,1,1,2,2,0
36,1,1,2,3,1.5868649895E-05
36,1,1,2,4,1.8724596558E-05
36,1,1,2,5,1.7860612449E-05
36,1,1,2,6,1.9462110377E-05
36,1,1,2,7,1.6666209778E-05
36,1,1,2,8,9.680641253E-06
36,1,1,2,9,8.039722553E-06
36,1,1,2,10,6.474217152E-06
36,1,1,2,11,4.342951873E-06
36,1,1,2,12,4.278284699E-06
36,1,1,2,13,2.864473347E-06
36,1,1,2,14,2.501076485E-06
36,1,1,2,15,2.501076485E-06
36,1,1,3,1,0
36,1,1,3,2,0
36,1,1,3,3,2.4442360609E-05
36,1,1,3,4,2.5448394774E-05
36,1,1,3,5,2.4439337284E-05
36,1,1,3,6,2.4514449625E-05
36,1,1,3,7,2.1532790541E-05
36,1,1,3,8,1.4976301016E-05
36,1,1,3,9,1.0176805026E-05
36,1,1,3,10,9.553300004E-06
36,1,1,3,11,7.001832394E-06
36,1,1,3,12,5.770975451E-06
36,1,1,3,13,3.636041098E-06
36,1,1,3,14,3.010565958E-06
36,1,1,3,15,3.010565958E-06
36,1,1,4,1,0
36,1,1,4,2,0
36,1,1,4,3,2.7096907076E-05
36,1,1,4,4,2.5776188375E-05
36,1,1,4,5,2.6862123552E-05
36,1,1,4,6,2.445223693E-05
36,1,1,4,7,1.960025015E-05
36,1,1,4,8,1.4234380664E-05
36,1,1,4,9,1.0731761983E-05
36,1,1,4,10,9.91951462E-06
36,1,1,4,11,8.468957588E-06
36,1,1,4,12,5.845014583E-06
36,1,1,4,13,4.790560233E-06
36,1,1,4,14,3.398841122E-06
36,1,1,4,15,3.398841122E-06
36,1,1,5,1,0
36,1,1,5,2,0
36,1,1,5,3,2.3782452974E-05
