Minor,Gender,Race,Age,Calendar Period,Rate
68,1,1,1,1,0.000100353733776
68,1,1,1,2,3.9234032837E-05
68,1,1,1,3,1.594988659E-05
68,1,1,1,4,1.209510457E-05
68,1,1,1,5,1.2301849832E-05
68,1,1,1,6,9.269506436E-06
68,1,1,1,7,7.887380633E-06
68,1,1,1,8,4.966117957E-06
68,1,1,1,9,3.888055027E-06
68,1,1,1,10,3.6282502E-06
68,1,1,1,11,3.063086409E-06
68,1,1,1,12,3.304023148E-06
68,1,1,1,13,2.886249488E-06
68,1,1,1,14,2.892272173E-06
68,1,1,1,15,2.892272173E-06
68,1,1,2,1,8.4776089134E-05
68,1,1,2,2,3.7351470784E-05
68,1,1,2,3,1.8432047186E-05
68,1,1,2,4,1.3174998936E-05
68,1,1,2,5,1.3947549851E-05
68,1,1,2,6,1.2298532291E-05
68,1,1,2,7,1.3556638723E-05
68,1,1,2,8,8.900337676E-06
68,1,1,2,9,5.871707482E-06
68,1,1,2,10,5.415237395E-06
68,1,1,2,11,4.164124443E-06
68,1,1,2,12,4.830321435E-06
68,1,1,2,13,5.355319736E-06
68,1,1,2,14,5.603373279E-06
68,1,1,2,15,5.603373279E-06
68,1,1,3,1,8.4444545879E-05
68,1,1,3,2,3.9626014651E-05
68,1,1,3,3,2.4058046763E-05
68,1,1,3,4,1.872772369E-05
68,1,1,3,5,1.712361461E-05
68,1,1,3,6,1.7221491121E-05
68,1,1,3,7,1.7933467782E-05
68,1,1,3,8,1.3869943643E-05
68,1,1,3,9,1.0553723731E-05
68,1,1,3,10,1.0282907641E-05
68,1,1,3,11,8.968100395E-06
68,1,1,3,12,8.418211896E-06
68,1,1,3,13,7.96213379E-06
68,1,1,3,14,1.0511892802E-05
68,1,1,3,15,1.0511892802E-05
68,1,1,4,1,0.000110422346274
68,1,1,4,2,5.5412717482E-05
68,1,1,4,3,3.4732596209E-05
68,1,1,4,4,2.9801298872E-05
68,1,1,4,5,2.5542308233E-05
68,1,1,4,6,2.5331238911E-05
68,1,1,4,7,2.7220534321E-05
68,1,1,4,8,2.1878212986E-05
68,1,1,4,9,1.8332374587E-05
68,1,1,4,10,1.7726540015E-05
68,1,1,4,11,1.6201484082E-05
68,1,1,4,12,1.5861672639E-05
68,1,1,4,13,1.590368727E-05
68,1,1,4,14,1.6019344201E-05
68,1,1,4,15,1.6019344201E-05
68,1,1,5,1,0.000134898017371
68,1,1,5,2,7.7514041547E-05
68,1,1,5,3,5.2147571306E-05
68,1,1,5,4,4.5702623108E-05
68,1,1,5,5,4.3376659657E-05
68,1,1,5,6,4.3007712998E-05
68,1,1,5,7,4.4743763265E-05
68,1,1,5,8,3.4351947976E-05
68,1,1,5,9,3.123341203E-05
68,1,1,5,10,3.334120816E-05
68,1,1,5,11,3.1357796684E-05
68,1,1,5,12,2.846150358E-05
68,1,1,5,13,2.8621788477E-05
68,1,1,5,14,2.7549340052E-05
68,1,1,5,15,2.7549340052E-05
68,1,1,6,1,0.000183258688547
68,1,1,6,2,0.000109412511445
68,1,1,6,3,7.8592093397E-05
68,1,1,6,4,7.3388943244E-05
68,1,1,6,5,7.0776590983E-05
68,1,1,6,6,7.1599838862E-05
68,1,1,6,7,7.0278463755E-05
68,1,1,6,8,5.5015057338E-05
