site,period,diag_age,rate,lower95,upper95,race,gender
0,2012-2016,00-04,21.997,20.67,23.387,All races,F
0,2012-2016,00,28.206,24.881,31.851,All races,F
0,2012-2016,01-04,20.462,19.036,21.967,All races,F
0,2012-2016,05-09,11.349,10.415,12.345,All races,F
0,2012-2016,10-14,13.741,12.711,14.833,All races,F
0,2012-2016,15-19,24.362,22.981,25.805,All races,F
0,2012-2016,20-24,40.572,38.838,42.364,All races,F
0,2012-2016,25-29,75.06,72.729,77.447,All races,F
0,2012-2016,30-34,125.6,122.597,128.658,All races,F
0,2012-2016,35-39,190.984,187.156,194.87,All races,F
0,2012-2016,40-44,298.566,293.794,303.396,All races,F
0,2012-2016,45-49,446.434,440.637,452.288,All races,F
0,2012-2016,50-54,619.503,612.844,626.217,All races,F
0,2012-2016,55-59,777.804,770.217,785.448,All races,F
0,2012-2016,60-64,1012.404,1003.15,1021.722,All races,F
0,2012-2016,65-69,1325.022,1313.284,1336.838,All races,F
0,2012-2016,70-74,1615.863,1600.408,1631.43,All races,F
0,2012-2016,75-79,1843.464,1824.192,1862.888,All races,F
0,2012-2016,80-84,1916.753,1894.645,1939.054,All races,F
0,2012-2016,85+,1738.726,1720.052,1757.553,All races,F
0,1975,All ages,328.046,324.583,331.536,All races,F
0,1975,00-04,13.353,10.865,16.241,All races,F
0,1975,00,21.071,14.317,29.908,All races,F
0,1975,01-04,11.466,8.921,14.511,All races,F
0,1975,05-09,7.855,6.063,10.012,All races,F
0,1975,10-14,10.252,8.333,12.482,All races,F
0,1975,15-19,17.356,14.852,20.161,All races,F
0,1975,20-24,31.651,28.118,35.504,All races,F
0,1975,25-29,58.794,53.797,64.131,All races,F
0,1975,30-34,88.719,81.957,95.89,All races,F
0,1975,35-39,145.5,135.78,155.732,All races,F
0,1975,40-44,275.894,262.111,290.213,All races,F
0,1975,45-49,410.155,393.834,426.979,All races,F
0,1975,50-54,579.603,560.466,599.226,All races,F
0,1975,55-59,797.731,773.703,822.315,All races,F
0,1975,60-64,983.598,954.59,1013.264,All races,F
0,1975,65-69,1128.996,1095.059,1163.717,All races,F
0,1975,70-74,1247.981,1208.015,1288.933,All races,F
0,1975,75-79,1456.551,1407.289,1507.096,All races,F
0,1975,80-84,1588.452,1527.296,1651.429,All races,F
0,1975,85+,1747.184,1671.684,1825.214,All races,F
0,1976,All ages,331.052,327.587,334.545,All races,F
0,1976,00-04,17.869,14.929,21.218,All races,F
0,1976,00,23.295,16.133,32.553,All races,F
0,1976,01-04,16.507,13.371,20.158,All races,F
0,1976,05-09,8.228,6.389,10.431,All races,F
0,1976,10-14,11.208,9.167,13.568,All races,F
0,1976,15-19,19.463,16.813,22.411,All races,F
0,1976,20-24,31.692,28.195,35.502,All races,F
0,1976,25-29,54.867,50.167,59.889,All races,F
0,1976,30-34,90.797,84.021,97.973,All races,F
0,1976,35-39,149.156,139.441,159.369,All races,F
0,1976,40-44,250.712,237.553,264.41,All races,F
0,1976,45-49,430.771,413.895,448.159,All races,F
0,1976,50-54,595.976,576.528,615.913,All races,F
0,1976,55-59,794.111,770.353,818.416,All races,F
0,1976,60-64,937.534,909.498,966.214,All races,F
0,1976,65-69,1119.339,1086.015,1153.427,All races,F
0,1976,70-74,1283.147,1243.128,1324.127,All races,F
0,1976,75-79,1462.605,1413.368,1513.12,All races,F
0,1976,80-84,1614.423,1553.016,1677.635,All races,F
0,1976,85+,1807.336,1731.39,1885.757,All races,F
0,1977,All ages,330.714,327.267,334.189,All races,F
0,1977,00-04,15.137,12.44,18.244,All races,F
0,1977,00,13.68,8.468,20.911,All races,F
0,1977,01-04,15.527,12.469,19.107,All races,F
0,1977,05-09,11.032,8.871,13.56,All races,F
0,1977,10-14,11.902,9.763,14.369,All races,F
0,1977,15-19,18.114,15.557,20.971,All races,F
0,1977,20-24,33.661,30.101,37.527,All races,F
0,1977,25-29,58.887,54.011,64.085,All races,F
0,1977,30-34,93.407,86.798,100.387,All races,F
0,1977,35-39,144.105,134.73,153.961,All races,F
0,1977,40-44,249.702,236.587,263.355,All races,F
0,1977,45-49,414.708,398.006,431.93,All races,F
0,1977,50-54,554.37,535.498,573.736,All races,F
0,1977,55-59,750.693,727.808,774.114,All races,F
0,1977,60-64,961.973,933.851,990.726,All races,F
0,1977,65-69,1106.406,1073.653,1139.905,All races,F
0,1977,70-74,1282.577,1243.002,1323.091,All races,F
0,1977,75-79,1466.321,1417.521,1516.372,All races,F
0,1977,80-84,1643.585,1582.314,1706.621,All races,F
0,1977,85+,1868.668,1793.84,1945.815,All races,F
0,1978,All ages,332.052,328.616,335.515,All races,F
0,1978,00-04,18.038,15.103,21.377,All races,F
0,1978,00,25.525,18.235,34.757,All races,F
0,1978,01-04,16.017,12.928,19.622,All races,F
0,1978,05-09,10.1,8.021,12.554,All races,F
0,1978,10-14,8.764,6.917,10.954,All races,F
0,1978,15-19,18.935,16.312,21.861,All races,F
0,1978,20-24,32.6,29.136,36.362,All races,F
0,1978,25-29,54.776,50.125,59.743,All races,F
0,1978,30-34,96.823,90.208,103.794,All races,F
0,1978,35-39,151.692,142.347,161.49,All races,F
0,1978,40-44,264.881,251.435,278.86,All races,F
0,1978,45-49,382.181,366.031,398.86,All races,F
0,1978,50-54,562.516,543.411,582.121,All races,F
0,1978,55-59,733.533,711.128,756.465,All races,F
0,1978,60-64,970.085,942.134,998.655,All races,F
0,1978,65-69,1105.414,1073.016,1138.542,All races,F
0,1978,70-74,1258.94,1220.239,1298.556,All races,F
0,1978,75-79,1519.652,1470.594,1569.93,All races,F
0,1978,80-84,1662.332,1601.248,1725.149,All races,F
0,1978,85+,1746.751,1676.449,1819.244,All races,F
0,1979,All ages,337.764,334.318,341.237,All races,F
0,1979,00-04,20.236,17.156,23.708,All races,F
0,1979,00,22.788,16.045,31.41,All races,F
0,1979,01-04,19.538,16.145,23.434,All races,F
0,1979,05-09,8.436,6.524,10.732,All races,F
0,1979,10-14,10.639,8.566,13.062,All races,F
0,1979,15-19,19.101,16.454,22.052,All races,F
0,1979,20-24,26.264,23.191,29.631,All races,F
0,1979,25-29,54.279,49.705,59.161,All races,F
0,1979,30-34,93.017,86.682,99.692,All races,F
0,1979,35-39,152.614,143.435,162.226,All races,F
0,1979,40-44,247.098,234.222,260.498,All races,F
0,1979,45-49,398.257,381.637,415.415,All races,F
0,1979,50-54,550.423,531.404,569.95,All races,F
0,1979,55-59,725.368,703.306,747.945,All races,F
0,1979,60-64,959.346,931.845,987.454,All races,F
0,1979,65-69,1130.751,1098.44,1163.771,All races,F
0,1979,70-74,1369.964,1329.966,1410.861,All races,F
0,1979,75-79,1484.619,1436.926,1533.491,All races,F
0,1979,80-84,1687.913,1626.571,1750.977,All races,F
0,1979,85+,1858.823,1788.281,1931.435,All races,F
0,1980,All ages,343.384,339.931,346.864,All races,F
0,1980,00-04,19.291,16.327,22.637,All races,F
0,1980,00,24.743,17.832,33.445,All races,F
0,1980,01-04,17.769,14.576,21.453,All races,F
0,1980,05-09,8.499,6.559,10.833,All races,F
0,1980,10-14,11.143,9.005,13.637,All races,F
0,1980,15-19,16.458,13.992,19.234,All races,F
0,1980,20-24,32.048,28.663,35.723,All races,F
0,1980,25-29,52.183,47.765,56.901,All races,F
0,1980,30-34,91.62,85.474,98.091,All races,F
0,1980,35-39,149.438,140.522,158.771,All races,F
0,1980,40-44,251.312,238.441,264.698,All races,F
0,1980,45-49,368.319,352.192,384.995,All races,F
0,1980,50-54,542.556,523.602,562.021,All races,F
0,1980,55-59,722.792,700.92,745.173,All races,F
0,1980,60-64,965.783,938.474,993.685,All races,F
0,1980,65-69,1196.796,1163.925,1230.359,All races,F
0,1980,70-74,1366.446,1326.967,1406.802,All races,F
0,1980,75-79,1576.476,1527.948,1626.154,All races,F
0,1980,80-84,1705.857,1644.757,1768.647,All races,F
0,1980,85+,1873.402,1804.267,1944.507,All races,F
0,1981,All ages,353.481,349.99,356.998,All races,F
0,1981,00-04,16.49,13.797,19.555,All races,F
0,1981,00,19.105,13.151,26.83,All races,F
0,1981,01-04,15.771,12.818,19.2,All races,F
0,1981,05-09,10.771,8.541,13.405,All races,F
0,1981,10-14,8.303,6.472,10.49,All races,F
0,1981,15-19,16.447,13.944,19.269,All races,F
0,1981,20-24,29.301,26.068,32.824,All races,F
0,1981,25-29,55.87,51.337,60.695,All races,F
0,1981,30-34,90.135,84.183,96.396,All races,F
0,1981,35-39,163.073,153.842,172.713,All races,F
0,1981,40-44,249.777,237.11,262.944,All races,F
0,1981,45-49,400.788,383.872,418.258,All races,F
0,1981,50-54,549.529,530.316,569.26,All races,F
0,1981,55-59,730.163,708.07,752.77,All races,F
0,1981,60-64,1001.489,973.917,1029.643,All races,F
0,1981,65-69,1188.745,1156.269,1221.903,All races,F
0,1981,70-74,1383.842,1344.605,1423.934,All races,F
0,1981,75-79,1616.121,1567.587,1665.775,All races,F
0,1981,80-84,1812.854,1750.388,1876.981,All races,F
0,1981,85+,1908.079,1839.678,1978.373,All races,F
0,1982,All ages,356.828,353.332,360.35,All races,F
0,1982,00-04,15.856,13.238,18.84,All races,F
0,1982,00,23.012,16.44,31.336,All races,F
0,1982,01-04,13.911,11.172,17.119,All races,F
0,1982,05-09,9.464,7.378,11.958,All races,F
0,1982,10-14,11.45,9.264,13.998,All races,F
0,1982,15-19,19.911,17.101,23.051,All races,F
0,1982,20-24,26.144,23.079,29.502,All races,F
0,1982,25-29,56.574,52.059,61.375,All races,F
0,1982,30-34,97.683,91.469,104.208,All races,F
0,1982,35-39,160.799,151.973,170.005,All races,F
0,1982,40-44,242.809,230.549,255.551,All races,F
0,1982,45-49,390.149,373.449,407.403,All races,F
0,1982,50-54,532.946,513.822,552.601,All races,F
0,1982,55-59,749.656,727.097,772.736,All races,F
0,1982,60-64,1002.597,975.206,1030.562,All races,F
0,1982,65-69,1207.132,1174.719,1240.213,All races,F
0,1982,70-74,1420.472,1381.237,1460.54,All races,F
0,1982,75-79,1568.906,1521.695,1617.209,All races,F
0,1982,80-84,1793.129,1731.657,1856.225,All races,F
0,1982,85+,1889.342,1822.553,1957.953,All races,F
0,1983,All ages,364.177,360.659,367.722,All races,F
0,1983,00-04,17.906,15.137,21.034,All races,F
0,1983,00,26.496,19.398,35.342,All races,F
0,1983,01-04,15.622,12.738,18.964,All races,F
0,1983,05-09,8.017,6.118,10.32,All races,F
0,1983,10-14,9.959,7.909,12.378,All races,F
0,1983,15-19,16.461,13.873,19.39,All races,F
0,1983,20-24,30.929,27.571,34.583,All races,F
0,1983,25-29,52.336,48.03,56.924,All races,F
0,1983,30-34,93.92,87.877,100.269,All races,F
0,1983,35-39,154.252,145.755,163.116,All races,F
0,1983,40-44,251.002,238.886,263.573,All races,F
0,1983,45-49,381.873,365.492,398.799,All races,F
0,1983,50-54,543.831,524.243,563.964,All races,F
0,1983,55-59,768.981,746.05,792.437,All races,F
0,1983,60-64,1003.966,976.628,1031.875,All races,F
0,1983,65-69,1241.997,1209.449,1275.199,All races,F
0,1983,70-74,1434.856,1395.944,1474.578,All races,F
0,1983,75-79,1618.189,1570.879,1666.562,All races,F
0,1983,80-84,1833.172,1771.724,1896.207,All races,F
0,1983,85+,1899.287,1833.555,1966.774,All races,F
0,1984,All ages,377.761,374.193,381.354,All races,F
0,1984,00-04,20.122,17.186,23.416,All races,F
0,1984,00,21.283,14.907,29.465,All races,F
0,1984,01-04,19.825,16.575,23.525,All races,F
0,1984,05-09,10.196,8.06,12.725,All races,F
0,1984,10-14,11.514,9.27,14.136,All races,F
0,1984,15-19,21.486,18.478,24.845,All races,F
0,1984,20-24,27.262,24.101,30.722,All races,F
0,1984,25-29,54.81,50.425,59.474,All races,F
0,1984,30-34,93.931,87.952,100.209,All races,F
0,1984,35-39,165.623,157.011,174.584,All races,F
0,1984,40-44,264.812,252.635,277.425,All races,F
0,1984,45-49,403.83,387.175,421.018,All races,F
0,1984,50-54,550.129,530.229,570.585,All races,F
0,1984,55-59,774.205,751.048,797.895,All races,F
0,1984,60-64,1034.667,1007.094,1062.802,All races,F
0,1984,65-69,1270.556,1237.875,1303.882,All races,F
0,1984,70-74,1506.958,1467.534,1547.173,All races,F
0,1984,75-79,1681.815,1634.139,1730.529,All races,F
0,1984,80-84,1847.508,1786.638,1909.922,All races,F
0,1984,85+,1921.281,1856.205,1988.057,All races,F
0,1985,All ages,390.42,386.811,394.055,All races,F
0,1985,00-04,18.101,15.329,21.23,All races,F
0,1985,00,19.022,13.094,26.714,All races,F
0,1985,01-04,17.86,14.783,21.388,All races,F
0,1985,05-09,9.944,7.86,12.41,All races,F
0,1985,10-14,12.344,9.987,15.09,All races,F
0,1985,15-19,19.689,16.799,22.933,All races,F
0,1985,20-24,32.943,29.438,36.751,All races,F
0,1985,25-29,54.488,50.129,59.126,All races,F
0,1985,30-34,91.933,86.094,98.064,All races,F
0,1985,35-39,165.841,157.41,174.605,All races,F
0,1985,40-44,263.168,251.273,275.48,All races,F
0,1985,45-49,411.669,395.008,428.853,All races,F
0,1985,50-54,581.25,560.692,602.368,All races,F
0,1985,55-59,803.798,780.022,828.115,All races,F
0,1985,60-64,1069.109,1041.25,1097.525,All races,F
0,1985,65-69,1315.557,1282.546,1349.203,All races,F
0,1985,70-74,1555.771,1516.116,1596.201,All races,F
0,1985,75-79,1726.939,1679.233,1775.656,All races,F
0,1985,80-84,1899.726,1838.797,1962.159,All races,F
0,1985,85+,1944.329,1879.725,2010.588,All races,F
0,1986,All ages,391.941,388.342,395.565,All races,F
0,1986,00-04,19.126,16.277,22.329,All races,F
0,1986,00,27.637,20.377,36.642,All races,F
0,1986,01-04,16.896,13.912,20.33,All races,F
0,1986,05-09,9.586,7.565,11.981,All races,F
0,1986,10-14,11.021,8.766,13.681,All races,F
0,1986,15-19,19.412,16.546,22.631,All races,F
0,1986,20-24,33.351,29.78,37.232,All races,F
0,1986,25-29,53.743,49.425,58.338,All races,F
0,1986,30-34,95.337,89.452,101.508,All races,F
0,1986,35-39,158.531,150.521,166.856,All races,F
0,1986,40-44,275.205,263.209,287.606,All races,F
0,1986,45-49,412.678,396.215,429.648,All races,F
0,1986,50-54,565.581,545.217,586.512,All races,F
0,1986,55-59,789.702,766.008,813.941,All races,F
0,1986,60-64,1059.68,1031.908,1088.01,All races,F
0,1986,65-69,1356.406,1323.247,1390.186,All races,F
0,1986,70-74,1559.09,1519.677,1599.266,All races,F
0,1986,75-79,1723.505,1676.405,1771.593,All races,F
0,1986,80-84,1856.585,1797.216,1917.416,All races,F
0,1986,85+,1934.749,1871.15,1999.958,All races,F
0,1987,All ages,405.459,401.816,409.126,All races,F
0,1987,00-04,17.603,14.882,20.679,All races,F
0,1987,00,22.421,15.944,30.65,All races,F
0,1987,01-04,16.347,13.422,19.719,All races,F
0,1987,05-09,10.648,8.529,13.135,All races,F
0,1987,10-14,12.532,10.115,15.353,All races,F
0,1987,15-19,19.104,16.25,22.314,All races,F
0,1987,20-24,33.698,30.062,37.652,All races,F
0,1987,25-29,58.544,54.022,63.343,All races,F
0,1987,30-34,90.144,84.491,96.077,All races,F
0,1987,35-39,162.261,154.174,170.663,All races,F
0,1987,40-44,268.549,257.19,280.28,All races,F
0,1987,45-49,419.43,403.151,436.197,All races,F
0,1987,50-54,580.788,560.162,601.98,All races,F
0,1987,55-59,796.384,772.391,820.933,All races,F
0,1987,60-64,1127.395,1098.649,1156.703,All races,F
0,1987,65-69,1364.444,1331.486,1398.012,All races,F
0,1987,70-74,1609.928,1570.199,1650.407,All races,F
0,1987,75-79,1799.391,1751.894,1847.851,All races,F
0,1987,80-84,1958.446,1898.271,2020.043,All races,F
0,1987,85+,2007.173,1943.245,2072.669,All races,F
0,1988,All ages,403.386,399.771,407.025,All races,F
0,1988,00-04,18.014,15.273,21.105,All races,F
0,1988,00,23.712,17.09,32.052,All races,F
0,1988,01-04,16.513,13.584,19.886,All races,F
0,1988,05-09,8.2,6.367,10.395,All races,F
0,1988,10-14,11.703,9.386,14.418,All races,F
0,1988,15-19,19.482,16.58,22.746,All races,F
0,1988,20-24,30.09,26.614,33.895,All races,F
0,1988,25-29,58.963,54.412,63.792,All races,F
0,1988,30-34,91.881,86.218,97.818,All races,F
0,1988,35-39,158.199,150.304,166.402,All races,F
0,1988,40-44,269.1,257.957,280.601,All races,F
0,1988,45-49,414.512,398.784,430.701,All races,F
0,1988,50-54,576.673,556.307,597.594,All races,F
0,1988,55-59,794.879,770.606,819.723,All races,F
0,1988,60-64,1078.911,1050.794,1107.591,All races,F
0,1988,65-69,1360.554,1327.79,1393.923,All races,F
0,1988,70-74,1621.46,1581.92,1661.738,All races,F
0,1988,75-79,1795.315,1748.389,1843.181,All races,F
0,1988,80-84,1993.915,1934.021,2055.191,All races,F
0,1988,85+,1911.103,1849.392,1974.35,All races,F
0,1989,All ages,404.289,400.688,407.914,All races,F
0,1989,00-04,20.887,17.955,24.162,All races,F
0,1989,00,24.628,17.964,32.954,All races,F
0,1989,01-04,19.888,16.686,23.525,All races,F
0,1989,05-09,12.332,10.066,14.956,All races,F
0,1989,10-14,9.865,7.773,12.348,All races,F
0,1989,15-19,21.158,18.097,24.588,All races,F
0,1989,20-24,33.681,29.959,37.737,All races,F
0,1989,25-29,59.482,54.892,64.354,All races,F
0,1989,30-34,88.997,83.447,94.82,All races,F
0,1989,35-39,161.301,153.425,169.477,All races,F
0,1989,40-44,261.595,250.87,272.66,All races,F
0,1989,45-49,412.693,397.317,428.512,All races,F
0,1989,50-54,566.696,546.709,587.227,All races,F
0,1989,55-59,789.318,764.871,814.348,All races,F
0,1989,60-64,1051.559,1023.686,1079.998,All races,F
