site,period,diag_age,rate,lower95,upper95,race,gender
0,2012-2016,00-04,18.933,15.967,22.291,Black,M
0,2012-2016,00,17.816,11.741,25.922,Black,M
0,2012-2016,01-04,19.211,15.888,23.024,Black,M
0,2012-2016,05-09,8.042,6.165,10.309,Black,M
0,2012-2016,10-14,13.893,11.385,16.788,Black,M
0,2012-2016,15-19,17.173,14.398,20.326,Black,M
0,2012-2016,20-24,22.968,19.826,26.466,Black,M
0,2012-2016,25-29,40.397,35.926,45.272,Black,M
0,2012-2016,30-34,63.474,57.534,69.861,Black,M
0,2012-2016,35-39,86.404,79.223,94.061,Black,M
0,2012-2016,40-44,161.616,151.796,171.904,Black,M
0,2012-2016,45-49,315.79,301.836,330.224,Black,M
0,2012-2016,50-54,638.873,618.654,659.585,Black,M
0,2012-2016,55-59,1134.094,1105.444,1163.298,Black,M
0,2012-2016,60-64,1775.577,1734.585,1817.293,Black,M
0,2012-2016,65-69,2441.474,2384.318,2499.654,Black,M
0,2012-2016,70-74,2530.665,2457.341,2605.622,Black,M
0,2012-2016,75-79,2741.107,2644.191,2840.666,Black,M
0,2012-2016,80-84,2616.993,2495.701,2742.656,Black,M
0,2012-2016,85+,2276.981,2155.515,2403.508,Black,M
0,1975,All ages,282.164,271.431,293.212,Black,M
0,1975,00-04,,,,Black,M
0,1975,00,,,,Black,M
0,1975,01-04,,,,Black,M
0,1975,05-09,,,,Black,M
0,1975,10-14,,,,Black,M
0,1975,15-19,,,,Black,M
0,1975,20-24,19.378,11.288,31.025,Black,M
0,1975,25-29,34.032,22.428,49.515,Black,M
0,1975,30-34,30.608,18.428,47.798,Black,M
0,1975,35-39,78.344,54.871,108.462,Black,M
0,1975,40-44,187.541,149.375,232.485,Black,M
0,1975,45-49,360.837,306.601,421.902,Black,M
0,1975,50-54,570.261,500.39,647.157,Black,M
0,1975,55-59,1099.375,991.88,1215.344,Black,M
0,1975,60-64,1477.368,1339.916,1625.094,Black,M
0,1975,65-69,1991.624,1807.386,2189.549,Black,M
0,1975,70-74,2589.641,2325.78,2875.24,Black,M
0,1975,75-79,2795.145,2444.078,3182.483,Black,M
0,1975,80-84,3067.146,2523.165,3693.634,Black,M
0,1975,85+,2723.404,2097.353,3477.726,Black,M
0,1976,All ages,295.351,284.454,306.559,Black,M
0,1976,00-04,22.369,13.847,34.193,Black,M
0,1976,00,,,,Black,M
0,1976,01-04,25.126,15.128,39.238,Black,M
0,1976,05-09,,,,Black,M
0,1976,10-14,,,,Black,M
0,1976,15-19,,,,Black,M
0,1976,20-24,21.828,13.333,33.711,Black,M
0,1976,25-29,21.379,12.671,33.788,Black,M
0,1976,30-34,34.698,21.745,52.533,Black,M
0,1976,35-39,76.973,54.196,106.097,Black,M
0,1976,40-44,185.248,147.333,229.942,Black,M
0,1976,45-49,391.636,334.653,455.54,Black,M
0,1976,50-54,652.661,577.662,734.693,Black,M
0,1976,55-59,1164.288,1055.079,1281.73,Black,M
0,1976,60-64,1388.123,1255.888,1530.495,Black,M
0,1976,65-69,2127.755,1940.106,2328.655,Black,M
0,1976,70-74,2440.393,2190.698,2710.75,Black,M
0,1976,75-79,2911.347,2557.478,3300.491,Black,M
0,1976,80-84,3490.137,2932.142,4123.413,Black,M
0,1976,85+,3367.983,2674.665,4186.096,Black,M
0,1977,All ages,301.858,290.937,313.084,Black,M
0,1977,00-04,,,,Black,M
0,1977,00,,,,Black,M
0,1977,01-04,,,,Black,M
0,1977,05-09,,,,Black,M
0,1977,10-14,,,,Black,M
0,1977,15-19,,,,Black,M
0,1977,20-24,17.677,10.298,28.303,Black,M
0,1977,25-29,,,,Black,M
0,1977,30-34,31.193,19.309,47.682,Black,M
0,1977,35-39,85.036,61.541,114.543,Black,M
0,1977,40-44,205.895,165.98,252.512,Black,M
0,1977,45-49,386.164,329.323,449.998,Black,M
0,1977,50-54,711.538,632.78,797.39,Black,M
0,1977,55-59,1022.879,922.089,1131.679,Black,M
0,1977,60-64,1478.919,1343.34,1624.473,Black,M
0,1977,65-69,2000.788,1821.531,2192.916,Black,M
0,1977,70-74,2813.369,2549.169,3097.513,Black,M
0,1977,75-79,3010.337,2658.77,3395.461,Black,M
0,1977,80-84,3460.039,2914.362,4078.218,Black,M
0,1977,85+,4308.656,3541.192,5193.096,Black,M
0,1978,All ages,310.721,299.746,321.996,Black,M
0,1978,00-04,,,,Black,M
0,1978,00,,,,Black,M
0,1978,01-04,,,,Black,M
0,1978,05-09,,,,Black,M
0,1978,10-14,,,,Black,M
0,1978,15-19,,,,Black,M
0,1978,20-24,21.072,13.044,32.211,Black,M
0,1978,25-29,29.138,19.034,42.693,Black,M
0,1978,30-34,43.635,29.648,61.936,Black,M
0,1978,35-39,84.189,61.408,112.652,Black,M
0,1978,40-44,204.381,164.76,250.655,Black,M
0,1978,45-49,390.166,333.069,454.242,Black,M
0,1978,50-54,774.406,691.873,864.075,Black,M
0,1978,55-59,1081.851,979.654,1191.813,Black,M
0,1978,60-64,1487.768,1353.027,1632.297,Black,M
0,1978,65-69,2188.34,2004.442,2384.574,Black,M
0,1978,70-74,2593.622,2343.194,2863.524,Black,M
0,1978,75-79,3027.682,2683.399,3403.889,Black,M
0,1978,80-84,3352.872,2825.868,3949.635,Black,M
0,1978,85+,3387.937,2727.756,4159.636,Black,M
