site,period,diag_age,rate,lower95,upper95,race,gender
0,2012-2016,10-14,14.601,13.336,15.952,White,F
0,2012-2016,15-19,26.911,25.181,28.729,White,F
0,2012-2016,20-24,44.884,42.692,47.158,White,F
0,2012-2016,25-29,82.97,80.01,86.011,White,F
0,2012-2016,30-34,134.776,131.028,138.605,White,F
0,2012-2016,35-39,200.928,196.179,205.763,White,F
0,2012-2016,40-44,311.917,306.036,317.883,White,F
0,2012-2016,45-49,458.51,451.557,465.544,White,F
0,2012-2016,50-54,628.998,621.187,636.883,White,F
0,2012-2016,55-59,790.131,781.328,799.009,White,F
0,2012-2016,60-64,1026.415,1015.739,1037.174,White,F
0,2012-2016,65-69,1366.168,1352.626,1379.812,White,F
0,2012-2016,70-74,1682.475,1664.665,1700.427,White,F
0,2012-2016,75-79,1930.661,1908.39,1953.127,White,F
0,2012-2016,80-84,1997.799,1972.487,2023.355,White,F
0,2012-2016,85+,1783.092,1762.165,1804.206,White,F
0,1975,All ages,347.397,343.53,351.298,White,F
0,1975,00-04,14.295,11.434,17.654,White,F
0,1975,00,22.703,14.962,33.032,White,F
0,1975,01-04,12.224,9.305,15.767,White,F
0,1975,05-09,6.931,5.093,9.217,White,F
0,1975,10-14,10.852,8.692,13.385,White,F
0,1975,15-19,16.875,14.186,19.925,White,F
0,1975,20-24,32.928,28.987,37.254,White,F
0,1975,25-29,60.671,55.127,66.62,White,F
0,1975,30-34,88.923,81.553,96.779,White,F
0,1975,35-39,140.997,130.613,151.988,White,F
0,1975,40-44,273.774,258.858,289.325,White,F
0,1975,45-49,412.942,395.271,431.2,White,F
0,1975,50-54,590.755,570.044,612.026,White,F
0,1975,55-59,814.214,788.343,840.717,White,F
0,1975,60-64,1003.761,972.617,1035.647,White,F
0,1975,65-69,1142.778,1106.682,1179.751,White,F
0,1975,70-74,1262.117,1219.923,1305.398,White,F
0,1975,75-79,1474.657,1422.907,1527.807,White,F
0,1975,80-84,1587.238,1523.959,1652.469,White,F
0,1975,85+,1765.902,1687.259,1847.263,White,F
0,1976,All ages,352.575,348.686,356.496,White,F
0,1976,00-04,19.714,16.276,23.664,White,F
0,1976,00,24.629,16.494,35.371,White,F
0,1976,01-04,18.472,14.775,22.812,White,F
0,1976,05-09,8.012,6.019,10.454,White,F
0,1976,10-14,11.646,9.365,14.315,White,F
0,1976,15-19,20.707,17.72,24.054,White,F
0,1976,20-24,32.043,28.193,36.271,White,F
0,1976,25-29,56.579,51.357,62.187,White,F
0,1976,30-34,91.558,84.137,99.458,White,F
0,1976,35-39,150.363,139.751,161.567,White,F
0,1976,40-44,245.772,231.6,260.584,White,F
0,1976,45-49,437.644,419.257,456.628,White,F
0,1976,50-54,605.404,584.346,627.028,White,F
0,1976,55-59,810.361,784.731,836.614,White,F
0,1976,60-64,970.344,939.98,1001.44,White,F
0,1976,65-69,1144.5,1108.809,1181.047,White,F
0,1976,70-74,1301.398,1258.995,1344.864,White,F
0,1976,75-79,1484.644,1432.737,1537.951,White,F
0,1976,80-84,1630.507,1566.499,1696.46,White,F
0,1976,85+,1823.75,1744.591,1905.574,White,F
0,1977,All ages,350.984,347.115,354.886,White,F
0,1977,00-04,15.11,12.119,18.616,White,F
0,1977,00,13.709,7.986,21.949,White,F
0,1977,01-04,15.49,12.097,19.538,White,F
0,1977,05-09,12.108,9.601,15.07,White,F
0,1977,10-14,12.363,9.967,15.162,White,F
0,1977,15-19,18.308,15.495,21.483,White,F
0,1977,20-24,34.959,30.977,39.311,White,F
0,1977,25-29,59.388,54.009,65.157,White,F
0,1977,30-34,88.955,81.927,96.425,White,F
0,1977,35-39,142.415,132.263,153.139,White,F
0,1977,40-44,250.421,236.112,265.37,White,F
0,1977,45-49,413.577,395.514,432.253,White,F
0,1977,50-54,565.132,544.616,586.224,White,F
0,1977,55-59,766.003,741.272,791.35,White,F
0,1977,60-64,982.417,952.119,1013.434,White,F
0,1977,65-69,1130.737,1095.61,1166.704,White,F
0,1977,70-74,1297.272,1255.341,1340.246,White,F
0,1977,75-79,1481.222,1429.813,1534.008,White,F
0,1977,80-84,1661.382,1597.406,1727.263,White,F
0,1977,85+,1883.681,1805.659,1964.206,White,F
0,1978,All ages,354.179,350.306,358.085,White,F
0,1978,00-04,18.776,15.446,22.612,White,F
0,1978,00,28.441,19.92,39.374,White,F
0,1978,01-04,16.143,12.698,20.236,White,F
0,1978,05-09,9.777,7.513,12.509,White,F
0,1978,10-14,8.801,6.763,11.26,White,F
0,1978,15-19,19.748,16.807,23.057,White,F
0,1978,20-24,33.059,29.226,37.255,White,F
0,1978,25-29,55.301,50.156,60.831,White,F
0,1978,30-34,97.702,90.438,105.395,White,F
0,1978,35-39,151.989,141.799,162.718,White,F
0,1978,40-44,264.676,250.025,279.962,White,F
0,1978,45-49,386.995,369.341,405.275,White,F
0,1978,50-54,575.733,554.879,597.172,White,F
0,1978,55-59,745.452,721.241,770.269,White,F
0,1978,60-64,1002.126,971.793,1033.164,White,F
0,1978,65-69,1138.548,1103.578,1174.344,White,F
0,1978,70-74,1281.437,1240.26,1323.632,White,F
0,1978,75-79,1521.227,1469.709,1574.09,White,F
0,1978,80-84,1679.93,1616.056,1745.682,White,F
0,1978,85+,1769.904,1696.396,1845.778,White,F
0,1979,All ages,359.349,355.462,363.269,White,F
0,1979,00-04,21.484,17.95,25.51,White,F
0,1979,00,25.289,17.408,35.515,White,F
0,1979,01-04,20.438,16.574,24.932,White,F
0,1979,05-09,9.626,7.346,12.391,White,F
0,1979,10-14,10.986,8.656,13.75,White,F
0,1979,15-19,19.907,16.933,23.253,White,F
0,1979,20-24,27.163,23.722,30.963,White,F
0,1979,25-29,55.321,50.227,60.792,White,F
0,1979,30-34,93.022,86.076,100.381,White,F
0,1979,35-39,147.973,138.117,158.346,White,F
0,1979,40-44,247.341,233.286,262.021,White,F
0,1979,45-49,400.389,382.238,419.18,White,F
0,1979,50-54,551.963,531.353,573.168,White,F
0,1979,55-59,735.991,712.121,760.458,White,F
0,1979,60-64,982.935,953.161,1013.401,White,F
0,1979,65-69,1154.663,1119.863,1190.268,White,F
0,1979,70-74,1391.385,1348.817,1434.953,White,F
0,1979,75-79,1502.661,1452.217,1554.409,White,F
0,1979,80-84,1703.824,1639.66,1769.856,White,F
0,1979,85+,1875.523,1801.881,1951.402,White,F
0,1980,All ages,367.292,363.375,371.241,White,F
0,1980,00-04,19.872,16.515,23.71,White,F
0,1980,00,25.109,17.389,35.087,White,F
0,1980,01-04,18.405,14.781,22.649,White,F
0,1980,05-09,8.779,6.576,11.483,White,F
0,1980,10-14,10.915,8.57,13.702,White,F
0,1980,15-19,17.769,14.938,20.98,White,F
0,1980,20-24,34.422,30.548,38.652,White,F
0,1980,25-29,54.029,49.054,59.373,White,F
0,1980,30-34,91.151,84.398,98.3,White,F
0,1980,35-39,153.026,143.153,163.401,White,F
0,1980,40-44,248.429,234.437,263.038,White,F
0,1980,45-49,372.632,354.931,390.988,White,F
0,1980,50-54,544.45,523.839,565.665,White,F
0,1980,55-59,735.82,712.076,760.154,White,F
0,1980,60-64,983.787,954.274,1013.98,White,F
0,1980,65-69,1227.689,1192.152,1264.016,White,F
0,1980,70-74,1395.31,1353.132,1438.468,White,F
0,1980,75-79,1596.887,1545.511,1649.535,White,F
0,1980,80-84,1712.318,1648.508,1777.965,White,F
0,1980,85+,1902.508,1830.034,1977.117,White,F
0,1981,All ages,379.784,375.808,383.792,White,F
0,1981,00-04,15.925,12.971,19.35,White,F
0,1981,00,18.944,12.375,27.757,White,F
0,1981,01-04,15.091,11.87,18.917,White,F
0,1981,05-09,10.616,8.139,13.61,White,F
0,1981,10-14,8.155,6.144,10.615,White,F
0,1981,15-19,17.417,14.563,20.668,White,F
0,1981,20-24,30.3,26.668,34.29,White,F
0,1981,25-29,59.827,54.626,65.39,White,F
0,1981,30-34,90.385,83.804,97.347,White,F
0,1981,35-39,166.307,156.082,177.026,White,F
0,1981,40-44,251.885,237.947,266.426,White,F
0,1981,45-49,402.323,383.796,421.513,White,F
0,1981,50-54,561.825,540.703,583.561,White,F
0,1981,55-59,739.699,715.717,764.278,White,F
0,1981,60-64,1032.235,1002.218,1062.924,White,F
0,1981,65-69,1231.868,1196.508,1268.007,White,F
0,1981,70-74,1412.074,1370.092,1455.014,White,F
0,1981,75-79,1638.994,1587.52,1691.712,White,F
0,1981,80-84,1817.198,1751.912,1884.296,White,F
0,1981,85+,1930.006,1858.371,2003.696,White,F
0,1982,All ages,383.7,379.707,387.723,White,F
0,1982,00-04,16.842,13.816,20.334,White,F
0,1982,00,22.585,15.346,32.058,White,F
