site,period,diag_age,rate,lower95,upper95,race,gender
0,2012-2016,00-04,22.911,21.585,24.296,All races,M
0,2012-2016,00,27.851,24.622,31.386,All races,M
0,2012-2016,01-04,21.686,20.248,23.199,All races,M
0,2012-2016,05-09,12.856,11.881,13.889,All races,M
0,2012-2016,10-14,15.412,14.342,16.541,All races,M
0,2012-2016,15-19,24.741,23.379,26.161,All races,M
0,2012-2016,20-24,36.913,35.305,38.575,All races,M
0,2012-2016,25-29,54.059,52.116,56.056,All races,M
0,2012-2016,30-34,75.003,72.693,77.367,All races,M
0,2012-2016,35-39,95.812,93.097,98.586,All races,M
0,2012-2016,40-44,149.086,145.699,152.532,All races,M
0,2012-2016,45-49,259.664,255.214,264.172,All races,M
0,2012-2016,50-54,508.688,502.557,514.874,All races,M
0,2012-2016,55-59,842.357,834.256,850.517,All races,M
0,2012-2016,60-64,1289.603,1278.721,1300.554,All races,M
0,2012-2016,65-69,1866.872,1852.135,1881.697,All races,M
0,2012-2016,70-74,2270.165,2250.387,2290.073,All races,M
0,2012-2016,75-79,2608.384,2582.605,2634.356,All races,M
0,2012-2016,80-84,2809.525,2777.545,2841.781,All races,M
0,2012-2016,85+,2763.309,2730.78,2796.129,All races,M
0,1975,All ages,329.431,325.89,333.002,All races,M
0,1975,00-04,18.781,15.868,22.075,All races,M
0,1975,00,13.588,8.411,20.771,All races,M
0,1975,01-04,20.059,16.71,23.883,All races,M
0,1975,05-09,10.11,8.098,12.47,All races,M
0,1975,10-14,9.344,7.551,11.434,All races,M
0,1975,15-19,16.899,14.455,19.64,All races,M
0,1975,20-24,28.765,25.4,32.452,All races,M
0,1975,25-29,42.793,38.538,47.39,All races,M
0,1975,30-34,52.672,47.448,58.314,All races,M
0,1975,35-39,78.098,70.93,85.793,All races,M
0,1975,40-44,130.622,121.056,140.743,All races,M
0,1975,45-49,251.913,238.888,265.463,All races,M
0,1975,50-54,425.297,408.419,442.693,All races,M
0,1975,55-59,734.228,710.375,758.678,All races,M
0,1975,60-64,1157.154,1124.149,1190.883,All races,M
0,1975,65-69,1644.402,1599.202,1690.556,All races,M
0,1975,70-74,2265.461,2202.308,2329.965,All races,M
0,1975,75-79,2803.428,2716.872,2892.04,All races,M
0,1975,80-84,3189.879,3071.993,3311.131,All races,M
0,1975,85+,3303.798,3152.335,3460.657,All races,M
0,1976,All ages,341.469,337.877,345.091,All races,M
0,1976,00-04,18.813,15.856,22.162,All races,M
0,1976,00,15.035,9.531,22.559,All races,M
0,1976,01-04,19.766,16.388,23.635,All races,M
0,1976,05-09,12.901,10.613,15.536,All races,M
0,1976,10-14,10.14,8.241,12.345,All races,M
0,1976,15-19,15.866,13.51,18.515,All races,M
0,1976,20-24,29.849,26.461,33.551,All races,M
0,1976,25-29,38.924,34.975,43.198,All races,M
0,1976,30-34,48.871,43.892,54.261,All races,M
0,1976,35-39,77.333,70.306,84.871,All races,M
0,1976,40-44,128.193,118.697,138.248,All races,M
0,1976,45-49,266.055,252.563,280.08,All races,M
0,1976,50-54,453.539,436.044,471.556,All races,M
0,1976,55-59,735.196,711.508,759.472,All races,M
0,1976,60-64,1203.779,1170.374,1237.895,All races,M
0,1976,65-69,1708.123,1662.49,1754.692,All races,M
0,1976,70-74,2265.362,2203.161,2328.874,All races,M
0,1976,75-79,2911.833,2824.035,3001.668,All races,M
0,1976,80-84,3331.892,3212.309,3454.789,All races,M
0,1976,85+,3465.347,3312.256,3623.688,All races,M
0,1977,All ages,347.581,343.97,351.219,All races,M
0,1977,00-04,18.415,15.491,21.73,All races,M
0,1977,00,21.675,15.098,30.145,All races,M
0,1977,01-04,17.535,14.342,21.228,All races,M
0,1977,05-09,10.94,8.83,13.403,All races,M
0,1977,10-14,10.151,8.223,12.396,All races,M
0,1977,15-19,18.792,16.215,21.663,All races,M
0,1977,20-24,29.565,26.238,33.198,All races,M
0,1977,25-29,39.104,35.142,43.391,All races,M
